period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	ThereseK	1981		23.0	8.0	15.0	0.34782608695652173	0.6521739130434783
	Nagoyam W	1984		18.0	11.0	7.0	0.6111111111111112	0.3888888888888889
	Moomin	1982		7.0	7.0	0.0	1.0	0.0
	gosmamman	1983		108.0	15.0	93.0	0.1388888888888889	0.8611111111111112
	Lowika	1981		22.0	4.0	18.0	0.18181818181818182	0.8181818181818182
	Minika	1988		19.0	0.0	19.0	0.0	1.0
	FrökenR	1989		16.0	6.0	10.0	0.375	0.625
	Empo	1985		33.0	20.0	13.0	0.6060606060606061	0.3939393939393939
	Svart ros	1983		103.0	1.0	102.0	0.009708737864077669	0.9902912621359223
	LHUF	1980		237.0	10.0	227.0	0.04219409282700422	0.9578059071729957
	pluvdo	1987		88.0	7.0	81.0	0.07954545454545454	0.9204545454545454
	lilla mej	1978		161.0	3.0	158.0	0.018633540372670808	0.9813664596273292
	Janina	1986		6.0	2.0	4.0	0.3333333333333333	0.6666666666666666
	Daimis	1977		60.0	10.0	50.0	0.16666666666666666	0.8333333333333334
	PernillaWaxin	1987		9.0	0.0	9.0	0.0	1.0
	LillePluttansMamma	1984		14.0	2.0	12.0	0.14285714285714285	0.8571428571428571
	Chaplin	1976		25.0	23.0	2.0	0.92	0.08
	Ängaboll	1978		9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
	Skutta	1986		2.0	2.0	0.0	1.0	0.0
	FL Lisa	1983		90.0	4.0	86.0	0.044444444444444446	0.9555555555555556
	Gustie	1973		57.0	55.0	2.0	0.9649122807017544	0.03508771929824561
	Hundtok	1984		23.0	4.0	19.0	0.17391304347826086	0.8260869565217391
	passau	1977		78.0	13.0	65.0	0.16666666666666666	0.8333333333333334
	Joona	1978		16.0	0.0	16.0	0.0	1.0
	Mamma Tes	1982		90.0	22.0	68.0	0.24444444444444444	0.7555555555555555
	Helena85	1986		34.0	1.0	33.0	0.029411764705882353	0.9705882352941176
	Tuttan80	1981		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
	Gummisnodden	1979		26.0	1.0	25.0	0.038461538461538464	0.9615384615384616
