period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	81missan	1982		13.0	0.0	13.0	0.0	1.0
	ViSkaBliTre	1978		109.0	0.0	109.0	0.0	1.0
	FCBJ	1974		21.0	0.0	21.0	0.0	1.0
	kitty3465	1984		10.0	0.0	10.0	0.0	1.0
	Myssan78	1979		12.0	0.0	12.0	0.0	1.0
	Muffinsmamman	1985		10.0	0.0	10.0	0.0	1.0
	Anna i Hult	1971		17.0	0.0	17.0	0.0	1.0
	majken81	1981		14.0	0.0	14.0	0.0	1.0
	aquamarin	1990		12.0	0.0	12.0	0.0	1.0
	Lill Mamsen	1985		21.0	0.0	21.0	0.0	1.0
	Sjuan	1977		17.0	0.0	17.0	0.0	1.0
	Burmakatten	1975		10.0	0.0	10.0	0.0	1.0
	Acelise	1984		16.0	0.0	16.0	0.0	1.0
	hjärta	1989		11.0	0.0	11.0	0.0	1.0
	mariaheterjag	1982		114.0	0.0	114.0	0.0	1.0
	AvalonC	1982		11.0	0.0	11.0	0.0	1.0
	Virga	1975		21.0	0.0	21.0	0.0	1.0
	FamÅsling	1988		25.0	0.0	25.0	0.0	1.0
	soffan86	1987		12.0	0.0	12.0	0.0	1.0
	mmn1	1986		14.0	0.0	14.0	0.0	1.0
	Niccipicci	1976		22.0	0.0	22.0	0.0	1.0
	Amme79	1980		11.0	0.0	11.0	0.0	1.0
	korvmedbröd	1988		17.0	0.0	17.0	0.0	1.0
	mellieB	1988		41.0	0.0	41.0	0.0	1.0
	Lucia1987	1988		11.0	0.0	11.0	0.0	1.0
	Anna J01	1987		17.0	0.0	17.0	0.0	1.0
	MuM2girls	1987		20.0	0.0	20.0	0.0	1.0
	Tingeling76	1977		25.0	0.0	25.0	0.0	1.0
	PHofie	1987		13.0	0.0	13.0	0.0	1.0
	Lilla Fjun	1978		14.0	0.0	14.0	0.0	1.0
	CamillaJ	1985		24.0	0.0	24.0	0.0	1.0
	September2009	1982		15.0	0.0	15.0	0.0	1.0
	Erika Ö	1989		32.0	0.0	32.0	0.0	1.0
	Friid4	1991		22.0	0.0	22.0	0.0	1.0
	LitenIsa	1983		12.0	1.0	11.0	0.08333333333333333	0.9166666666666666
	honeybunches	1982		32.0	0.0	32.0	0.0	1.0
	Liian	1983		17.0	0.0	17.0	0.0	1.0
	eldflugan	1982		23.0	0.0	23.0	0.0	1.0
	Vintervacker	1980		19.0	0.0	19.0	0.0	1.0
	Lajs85	1986		14.0	0.0	14.0	0.0	1.0
	aprilfamilj	1987		27.0	0.0	27.0	0.0	1.0
	ananasen01	1979		21.0	0.0	21.0	0.0	1.0
	Jkpg Deluxe	1985		25.0	0.0	25.0	0.0	1.0
	babyboom86	1987		13.0	0.0	13.0	0.0	1.0
	lliliot	1989		10.0	0.0	10.0	0.0	1.0
	Linha	1972		42.0	0.0	42.0	0.0	1.0
	Bellenellen09	1977		15.0	0.0	15.0	0.0	1.0
	Lindaewer	1978		10.0	0.0	10.0	0.0	1.0
	yennie84	1985		15.0	0.0	15.0	0.0	1.0
	chasmin	1983		16.0	0.0	16.0	0.0	1.0
	Hormonermedhumör	1979		37.0	0.0	37.0	0.0	1.0
	StinaStina	1986		11.0	0.0	11.0	0.0	1.0
	Strawberry3	1979		15.0	0.0	15.0	0.0	1.0
	oxle bo	1986		29.0	0.0	29.0	0.0	1.0
	Lyxmamma	1973		10.0	0.0	10.0	0.0	1.0
	Linduccia	1976		18.0	0.0	18.0	0.0	1.0
	SusiSue	1978		13.0	0.0	13.0	0.0	1.0
	Rainbowbright	1983		10.0	0.0	10.0	0.0	1.0
	Klunsen111	1976		13.0	0.0	13.0	0.0	1.0
	Rainbow	1976		16.0	0.0	16.0	0.0	1.0
	crazy hannah	1987		22.0	0.0	22.0	0.0	1.0
