period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	caos	1980	3	2.0	0.0	2.0	0.0	1.0
	nonayti	1983	4	2.0	0.0	2.0	0.0	1.0
	tan73	1974	3	3.0	0.0	3.0	0.0	1.0
	Trissvinnaren	1974	3	5.0	0.0	5.0	0.0	1.0
	Bajjelen	1985	4	2.0	0.0	2.0	0.0	1.0
	eviz08	1983	4	2.0	0.0	2.0	0.0	1.0
	isabellem	1989	4	2.0	0.0	2.0	0.0	1.0
	josse1	1987	4	1.0	0.0	1.0	0.0	1.0
	englarum2008	1976	3	1.0	1.0	0.0	1.0	0.0
	Mirren	1978	3	20.0	1.0	19.0	0.05	0.95
	Helene70	1971	2	19.0	0.0	19.0	0.0	1.0
	Livsglädjen	1973	3	7.0	0.0	7.0	0.0	1.0
	saferide	1989	4	1.0	0.0	1.0	0.0	1.0
	pisces74	1975	3	1.0	0.0	1.0	0.0	1.0
	LindaPalm	1984	4	1.0	0.0	1.0	0.0	1.0
	Enira	1981	3	4.0	0.0	4.0	0.0	1.0
	kirsikka	1966	2	3.0	0.0	3.0	0.0	1.0
	Min högsta önskan	1979	3	9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
	Caroline08	1989	4	4.0	0.0	4.0	0.0	1.0
	skånegås	1982	3	2.0	0.0	2.0	0.0	1.0
	Flurstina	1977	3	1.0	0.0	1.0	0.0	1.0
	mandelblomma	1990	4	11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	junk	1986	4	5.0	0.0	5.0	0.0	1.0
	DenNamnbitne	1990	4	1.0	0.0	1.0	0.0	1.0
	Känslan	1982	3	5.0	0.0	5.0	0.0	1.0
	LadyBond	1975	3	1.0	0.0	1.0	0.0	1.0
	MiaMarias	1980	3	4.0	1.0	3.0	0.25	0.75
	modestyclara	1979	3	17.0	0.0	17.0	0.0	1.0
