speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1149	1973			3.0	0.0	0.0	26.0	1.0	3.0	27.0	1.0	1.0	0.0	1.0	0.0			0.0	7.0	1.0	4.0	0.0	4.0
user1150	1983			0.0	2.0					22.0	3.0							0.0	1.0	0.0	4.0	1.0	2.0
user1151	1975			2.0	0.0	0.0	5.0			7.0	3.0							0.0	1.0				
user1152	1982			1.0	1.0	0.0	7.0			6.0	4.0							0.0	1.0			0.0	2.0
user1153	1980			2.0	1.0	0.0	3.0	0.0	1.0	15.0	3.0					2.0	0.0	0.0	3.0	0.0	2.0	1.0	0.0
user1154	1975			0.0	2.0	0.0	4.0	0.0	1.0	6.0	8.0									0.0	3.0		
user1155	1986			1.0	0.0	0.0	12.0	0.0	1.0	3.0	6.0			1.0	0.0			0.0	2.0			0.0	1.0
user1156	1976			2.0	0.0	0.0	2.0			1.0	15.0					1.0	0.0	0.0	1.0	0.0	1.0		
user1157	1982			0.0	1.0	0.0	5.0	0.0	2.0	1.0	12.0							0.0	3.0	0.0	2.0	0.0	7.0
user1158	1973			2.0	0.0	0.0	5.0	0.0	3.0	10.0	20.0							0.0	4.0	0.0	1.0		
user1159	1983			0.0	5.0	0.0	15.0			11.0	35.0			5.0	0.0					0.0	11.0		
user1160	1972			0.0	1.0	0.0	6.0	0.0	1.0	34.0	0.0							0.0	2.0			0.0	3.0
user1161	1990			1.0	1.0	1.0	5.0			7.0	7.0							0.0	1.0				
user1162	1990			0.0	3.0	0.0	7.0	1.0	0.0	0.0	56.0									0.0	2.0	1.0	0.0
user1163	1976			1.0	0.0					0.0	1.0												
user1164	1983			0.0	2.0	1.0	8.0			2.0	40.0			1.0	0.0	1.0	0.0	1.0	8.0	0.0	1.0		
user1165	1989			0.0	1.0	0.0	3.0	0.0	1.0	1.0	11.0							0.0	3.0			0.0	2.0
user1166	1988			0.0	1.0	0.0	7.0	1.0	1.0	1.0	17.0			5.0	0.0			0.0	2.0	0.0	7.0	0.0	1.0
user1167	1986			1.0	1.0					0.0	26.0			1.0	0.0			0.0	3.0	0.0	2.0	0.0	5.0
user1168	1986			0.0	2.0	0.0	6.0	0.0	1.0	6.0	35.0			1.0	0.0			0.0	1.0	0.0	1.0	1.0	0.0
user1169	1976			0.0	1.0	0.0	1.0			1.0	0.0												
user1170	1981			1.0	0.0	1.0	12.0	1.0	1.0	3.0	19.0					2.0	0.0	0.0	2.0	0.0	2.0	0.0	1.0
user1171	1984			0.0	2.0	0.0	27.0	0.0	1.0	18.0	40.0	1.0	0.0	5.0	0.0			0.0	1.0	0.0	4.0	0.0	1.0
user1172	1975			1.0	0.0	0.0	2.0			10.0	0.0							0.0	3.0				
user1173	1984			1.0	0.0	0.0	15.0			2.0	10.0							0.0	2.0	0.0	2.0		
user1174	1980			0.0	1.0	0.0	2.0			0.0	6.0											0.0	1.0
user1175	1983			1.0	0.0	0.0	5.0			0.0	2.0			1.0	0.0			0.0	1.0			1.0	0.0
user1176	1983			1.0	0.0	0.0	3.0			3.0	25.0									0.0	3.0	0.0	2.0
user1177	1982			1.0	0.0					3.0	2.0												
user1178	1986			1.0	0.0	0.0	1.0	0.0	1.0	0.0	5.0									0.0	1.0		
user1179	1989			1.0	0.0	0.0	4.0			4.0	8.0									0.0	2.0		
user1180	1976			1.0	0.0	0.0	6.0			23.0	2.0			1.0	0.0					0.0	2.0	0.0	1.0
user1181	1981			0.0	1.0	0.0	3.0			4.0	24.0							0.0	2.0	0.0	2.0		
user1182	1980			2.0	3.0	1.0	15.0	0.0	1.0	3.0	19.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0
user1183	1972			1.0	0.0	0.0	2.0	1.0	2.0	2.0	2.0					1.0	0.0			0.0	2.0		
user1184	1988			1.0	1.0	1.0	6.0			2.0	21.0			6.0	0.0			0.0	1.0	0.0	4.0	0.0	1.0
user1185	1982			3.0	0.0	1.0	1.0			39.0	16.0							0.0	4.0	0.0	7.0	1.0	0.0
user1186	1976			1.0	0.0	0.0	7.0	0.0	2.0	49.0	2.0	2.0	0.0					0.0	1.0			0.0	1.0
user1187	1985			1.0	0.0	0.0	3.0			6.0	15.0			2.0	0.0			0.0	1.0	0.0	2.0		
user1188	1988			0.0	1.0	0.0	5.0			8.0	0.0							0.0	1.0	0.0	1.0		
user1189	1983			0.0	1.0	0.0	3.0			2.0	10.0							0.0	1.0			0.0	1.0
user1190	1975			0.0	1.0	0.0	2.0																
