post_year	username	age	agebin	total	v1abs	v2abs	v3abs	v1rel	v2rel	v3rel
2011	MammaTillMaja	23	20--29	26	0	20	6	0	0.7692307692	0.2307692308
2012	MammaTillMaja	24	20--29	11	0	6	5	0	0.5454545455	0.4545454545
2008	MammaTillNeoh	19	<20	19	11	0	8	0.5789473684	0	0.4210526316
2009	MammaTillNeoh	20	20--29	79	56	3	20	0.7088607595	0.0379746835	0.253164557
2012	MammaTillNeoh	23	20--29	17	12	0	5	0.7058823529	0	0.2941176471
2010	Mammatillnoah	22	20--29	10	10	0	0	1	0	0
2011	MammaTillTindra	20	20--29	12	8	4	0	0.6666666667	0.3333333333	0
2011	MammatillWilhelmina	24	20--29	13	5	0	8	0.3846153846	0	0.6153846154
2008	MammaU	37	30--39	10	8	1	1	0.8	0.1	0.1
2012	mammis76	37	30--39	152	0	1	151	0	0.0065789474	0.9934210526
2010	Mammisen	33	30--39	21	16	2	3	0.7619047619	0.0952380952	0.1428571429
2011	Mammisen	34	30--39	28	22	3	3	0.7857142857	0.1071428571	0.1071428571
2011	Mammmmma	25	20--29	34	2	0	32	0.0588235294	0	0.9411764706
2011	Man 1973	39	30--39	16	10	6	0	0.625	0.375	0
2012	Man 1973	40	40--49	13	10	3	0	0.7692307692	0.2307692308	0
2013	Man 1973	41	40--49	19	14	4	1	0.7368421053	0.2105263158	0.0526315789
2014	Man 1973	42	40--49	15	10	5	0	0.6666666667	0.3333333333	0
2015	Man 1973	43	40--49	20	12	8	0	0.6	0.4	0
2007	Manchester	39	30--39	13	13	0	0	1	0	0
2008	Manchester	40	40--49	402	343	53	6	0.8532338308	0.131840796	0.0149253731
2009	Manchester	41	40--49	810	686	104	20	0.8469135802	0.1283950617	0.024691358
2010	Manchester	42	40--49	640	560	80	0	0.875	0.125	0
2011	Manchester	43	40--49	446	380	65	1	0.8520179372	0.1457399103	0.0022421525
2004	Mandarin	36	30--39	14	10	0	4	0.7142857143	0	0.2857142857
2005	Mandarin	37	30--39	14	12	0	2	0.8571428571	0	0.1428571429
2008	Mandarin	40	40--49	12	9	0	3	0.75	0	0.25
2010	Mandarin	42	40--49	28	22	4	2	0.7857142857	0.1428571429	0.0714285714
2009	mandelblomma	21	20--29	27	21	6	0	0.7777777778	0.2222222222	0
2010	mandelblomma	22	20--29	213	179	34	0	0.8403755869	0.1596244131	0
2011	mandelblomma	23	20--29	843	721	121	1	0.8552787663	0.1435349941	0.0011862396
2012	mandelblomma	24	20--29	511	435	74	2	0.8512720157	0.14481409	0.0039138943
2013	mandelblomma	25	20--29	238	195	42	1	0.8193277311	0.1764705882	0.0042016807
