period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2007	BitchigaBea	25	Gen3	4.0	2.0	2.0	0.5	0.5
2008	idiblon	26	Gen3	6.0	0.0	6.0	0.0	1.0
2008	Kyanita	34	Gen2	13.0	4.0	9.0	0.3076923076923077	0.6923076923076923
2009	Redaktör	28	Gen3	2.0	1.0	1.0	0.5	0.5
2007	ballerinamuffins	22	Gen3	7.0	5.0	2.0	0.7142857142857143	0.2857142857142857
2005	brokig	21	Gen3	10.0	0.0	10.0	0.0	1.0
2006	Gustie	33	Gen2	16.0	3.0	13.0	0.1875	0.8125
2007	Kleopatra II	36	Gen2	2.0	1.0	1.0	0.5	0.5
2007	Stargirl	37	Gen2	15.0	9.0	6.0	0.6	0.4
2006	LisaS	36	Gen2	1.0	1.0	0.0	1.0	0.0
2009	Mopsan	22	Gen3	27.0	11.0	16.0	0.4074074074074074	0.5925925925925926
2015	Fjäril kär	37	Gen2	8.0	1.0	7.0	0.125	0.875
2006	Happy me	30	Gen2	29.0	5.0	24.0	0.1724137931034483	0.8275862068965517
2007	Beckah82	24	Gen3	102.0	90.0	12.0	0.8823529411764706	0.11764705882352941
2007	FallenMadonnaWithTheBigBoobies	32	Gen2	11.0	2.0	9.0	0.18181818181818182	0.8181818181818182
2009	Jordgubbssmak	41	Gen1	7.0	1.0	6.0	0.14285714285714285	0.8571428571428571
2007	Lilltessan	37	Gen2	5.0	1.0	4.0	0.2	0.8
2008	Alle	38	Gen2	8.0	1.0	7.0	0.125	0.875
2006	markattan	36	Gen2	4.0	0.0	4.0	0.0	1.0
2006	MittAndraJag	36	Gen2	1.0	1.0	0.0	1.0	0.0
2006	Peztis	36	Gen2	14.0	11.0	3.0	0.7857142857142857	0.21428571428571427
2008	mariahammarberg	27	Gen3	10.0	2.0	8.0	0.2	0.8
2006	Java	36	Gen2	2.0	0.0	2.0	0.0	1.0
2009	lillan kba	35	Gen2	2.0	0.0	2.0	0.0	1.0
2008	annroll	25	Gen3	8.0	0.0	8.0	0.0	1.0
