username	datapoints_t	change	innov_start	innov_end	datapoints_i	datapoints_e
JuliusSeverus	2	0	0.2	0.2	1	1
junkbord	2	0	1	1	2	0
Quantax	2	0	1	1	1	1
DasSchmetterling	2	0	1	1	1	1
BrutusBeefcake	2	0	1	1	1	1
UsamaBinNorrland	2	0	1	1	1	1
buffalo	2	0	1	1	1	1
erattat	2	0	1	1	1	1
J0E	2	0	1	1	1	1
Theyodor	2	0	1	1	2	0
nationalfrontdisco	2	0	0	0	1	1
Monorailcat	2	0	1	1	1	1
Shpongo	2	0	1	1	1	1
minopolis	2	0	1	1	1	1
.Kurgan.	2	0	1	1	2	0
Terrorbyre	2	0	1	1	2	0
DrArroganto	2	0	1	1	1	1
mavex	2	0	1	1	1	1
DirtyHarry	2	0	1	1	1	1
Aldrigfri	2	0	1	1	1	1
Dawkinsean	2	0	0	0	1	1
sinfon	2	0	0	0	2	0
nubbnubbanubba	2	0	0	0	1	1
svenne-i-viken	2	0	1	1	1	1
Mogaku-san	2	0	1	1	1	1
Parallax	2	0	1	1	1	1
Ulf T	2	0	1	1	1	1
WaltherVonKnopf	2	0	0.3333333333	0.3333333333	1	1
memoryloss75	2	0	1	1	1	1
basiclogic	2	0	1	1	1	1
Xheqnhouz	2	0	1	1	1	1
DavidHume	2	0	1	1	2	0
bajs2	2	0	1	1	1	1
Shaytansson	2	0	0	0	1	1
darwar	2	0	1	1	1	1
Skrev	2	0	1	1	1	1
forfoxsake	2	0	1	1	1	1
Orcen	2	0	0	0	1	1
GodeGoran	2	0	1	1	1	1
davetheslave	2	0	1	1	1	1
Malewhale	2	0	1	1	1	1
snopptrick	2	0	1	1	1	1
Kanelochsocker	2	0	1	1	1	1
Skatteskolk	2	0	0.2	0.2	1	1
NanaSangre	2	0	1	1	1	1
Dianoia	2	0	1	1	2	0
IvanPavlov	2	0	1	1	1	1
BaldEagle	2	0	0.0714285714	0.0714285714	1	1
granved	2	0	1	1	1	1
Blodpixel	2	0	1	1	1	1
harrythehamster	2	0	1	1	1	1
karmen	2	0	1	1	1	1
Hebronny	2	0	1	1	1	1
zoo2000	2	0	1	1	1	1
wife-beater	2	0	1	1	1	1
jakeiswasted	2	0	1	1	2	0
Tokker	2	0	1	1	1	1
heftstiftet	2	0	1	1	1	1
UnkenLuft	2	0	1	1	1	1
Mantrat	2	0	1	1	1	1
Rights4Men	2	0	0.6666666667	0.6666666667	1	1
hanna33	2	0	1	1	1	1
ElectrostaticGlue	2	0	1	1	1	1
betongtrollet	2	0	1	1	1	1
kattrackan	2	0	1	1	1	1
BadWerdz	2	0	1	1	2	0
ArgIdiot	2	0	1	1	1	1
1anonymous1	2	0	1	1	2	0
xant	2	0	1	1	1	1
500-5000	2	0	0	0	1	1
Karate-Killen	2	0	1	1	1	1
di.canio	2	0	1	1	1	1
rockingnrolling	2	0	1	1	1	1
ThisIsJustARide	2	0	0.6666666667	0.6666666667	1	1
Moulainsault	2	0	1	1	1	1
Krick1	2	0	1	1	1	1
Ullenobehag	2	0	1	1	1	1
laerande	2	0	0.8333333333	0.8333333333	1	1
SimonStyliten	2	0	1	1	1	1
flashspy	2	0	1	1	1	1
AdmiralCanaris	2	0	1	1	2	0
sverigeharfallit	2	0	1	1	1	1
OrrenHans	2	0	1	1	1	1
CliviaMiniata	2	0	1	1	2	0
euquero	2	0	1	1	1	1
Chefsideologen	2	0	0	0	1	1
Vitalejonet	2	0	1	1	2	0
IIIDracul	2	0	0	0	1	1
Hegemonikon	2	0	1	1	1	1
Thinkingagain	2	0	0	0	1	1
Jaegernz	2	0	1	1	1	1
KvasiOrko	2	0	0	0	1	1
EvilG	2	0	0.6666666667	0.6666666667	1	1
Whitez	2	0	1	1	1	1
SvP-Finn	2	0	1	1	1	1
VitmaktNegerslakt	2	0	1	1	2	0
Atarax.	2	0	0	0	1	1
Kristendom	2	0	1	1	1	1
pizza-face	2	0	1	1	1	1
Valspurten-SD	2	0	1	1	1	1
Bagern	2	0	1	1	1	1
tigerpop	2	0	1	1	1	1
Insomforni	2	0	1	1	1	1
Outbreak	2	0	0	0	1	1
Guy Incognito	2	0	0	0	1	1
Tuckmaister	2	0	1	1	1	1
LogitechTHX	2	0	1	1	1	1
VitiumVirginis	2	0	1	1	1	1
Dmitri	2	0	1	1	2	0
Skojgruppen	2	0	1	1	1	1
Bohlwinkel	2	0	1	1	1	1
Bilparkering	2	0	1	1	1	1
Eloria	2	0	0.5	0.5	1	1
AzorAhai	2	0	1	1	1	1
Heliga.ansiktet	2	0	1	1	1	1
krokofilen	2	0	1	1	1	1
elinoelin	2	0	1	1	1	1
Henkis1	2	0	1	1	1	1
Galvestonen	2	0	1	1	1	1
Asylbaronen	2	0	1	1	2	0
lottaberg	2	0	1	1	1	1
Kramnik	2	0	1	1	1	1
crapi	2	0	1	1	1	1
Feminism-nu	2	0	0	0	1	1
tompers	2	0	1	1	2	0
Energiknippe	2	0	1	1	1	1
Folstream	2	0	1	1	1	1
anså	2	0	1	1	1	1
Ratcher	2	0	1	1	1	1
internet2	2	0	1	1	1	1
nerdbot	2	0	0	0	1	1
Bohemond	2	0	1	1	1	1
Vissen	2	0	1	1	1	1
ItWasJustified	2	0	1	1	2	0
fridaynightout	2	0	0	0	1	1
LifLi	2	0	1	1	2	0
putlerthesmall	2	0	1	1	1	1
jourDDptd	2	0	1	1	1	1
HappySadHarry	2	0	1	1	2	0
Snurren75	2	0	1	1	1	1
nokings	2	0	1	1	1	1
interiorcore	2	0	1	1	1	1
deppshit	2	0	1	1	1	1
Dunderaxel2	2	0	1	1	1	1
babyhime	2	0	0	0	1	1
RagnvaldKnaphovde	2	0	1	1	2	0
Lazybones	2	0	1	1	1	1
Hipania37	2	0	1	1	1	1
Aboristen	2	0	0.5	0.5	1	1
KycklingKlubban	2	0	0	0	1	1
Bastuban	2	0	1	1	1	1
Munchen79	2	0	1	1	1	1
globbetrotter	2	0	1	1	1	1
NisseGhandi	2	0	1	1	1	1
bergochdal	2	0	1	1	1	1
ViktorStek	2	0	1	1	1	1
Aquino	2	0	0.625	0.625	1	1
Flyingtart	2	0	1	1	1	1
royoroger	2	0	1	1	1	1
Sjokort	2	0	1	1	1	1
upplevelse	2	0	1	1	1	1
Criston	2	0	0	0	1	1
Milan.Sevo	2	0	1	1	2	0
Fearmongo	2	0	0	0	1	1
Bombur	2	0	1	1	1	1
DagnyLiberte	2	0	1	1	1	1
David-Hume	2	0	0	0	1	1
Dead-Evidence	2	0	1	1	1	1
elon.fiske	2	0	0	0	1	1
Nyanpasu	2	0	0.5	0.5	1	1
LawlessDarkness	2	0	1	1	1	1
bushido69	2	0	1	1	1	1
Bloodyholly	2	0	1	1	1	1
Rundstedt	2	0	1	1	1	1
Hamburgarsvarulv	2	0	1	1	1	1
QkNN	2	0	1	1	1	1
NgulBanan	2	0	1	1	1	1
wnaxr	2	0	1	1	1	1
dejvie	2	0	1	1	1	1
Valaskjalf	2	0	1	1	1	1
gitarrpoet	2	0	1	1	1	1
timmmy	2	0	1	1	1	1
plishaggmi	2	0	0.5	0.5	1	1
quert	2	0	1	1	1	1
TerminalVelocity	2	0	1	1	1	1
Wellwellwell	2	0	1	1	1	1
GAMLE SVARTEN	2	0	1	1	1	1
Enzenn	2	0	0	0	1	1
drwadde	2	0	0	0	1	1
Soulflower	2	0	1	1	1	1
Probelime	2	0	1	1	1	1
ciggecedergren	2	0	1	1	1	1
Mandark	2	0	1	1	1	1
extremtlagom	2	0	1	1	1	1
b00b00	2	0	1	1	1	1
Motala	2	0	0	0	1	1
breeder	2	0	1	1	1	1
Meowgrrr	2	0	1	1	1	1
heartbeat03	2	0	0	0	2	0
Painted-Bird	2	0	1	1	1	1
Framtidsoptimist	2	0	1	1	1	1
-Peo	2	0	1	1	1	1
FyPharao	2	0	0	0	1	1
Injectionz	2	0	1	1	1	1
War-Emblem	2	0	1	1	1	1
fuckedupseriously2	2	0	1	1	1	1
76jonas	2	0	1	1	1	1
penka	2	0	1	1	1	1
Mr.choma	2	0	1	1	1	1
17maj	2	0	0	0	1	1
Waenn	2	0	1	1	1	1
kebnekaise-16	2	0	1	1	1	1
BoWassberg	2	0	0	0	1	1
Inergy	2	0	0	0	1	1
HarryTurtleDove	2	0	1	1	2	0
Cocaine-Cowboy	2	0	1	1	1	1
napalmens	2	0	1	1	1	1
Hamnkaka	2	0	1	1	1	1
atreyeri	2	0	1	1	1	1
fri123	2	0	1	1	1	1
Basschaser32	2	0	1	1	1	1
snoopiesnoop3	2	0	1	1	1	1
Kyozoku	2	0	1	1	1	1
Vilodag	2	0	0	0	1	1
Tardsowhat	2	0	0	0	1	1
Späk	2	0	0	0	2	0
Wanida	2	0	1	1	1	1
Wertym	2	0	1	1	1	1
Dr.Mental	2	0	1	1	1	1
100x234	2	0	1	1	2	0
molndans	2	0	1	1	1	1
dr26	2	0	1	1	1	1
VitSvenskMan	2	0	0.8	0.8	1	1
Gratzi	2	0	1	1	1	1
kalipp0	2	0	1	1	1	1
Trezor	2	0	1	1	1	1
Herr.von.Svensson	2	0	1	1	2	0
Pk-slakt	2	0	1	1	1	1
Evike	2	0	1	1	1	1
ElectricLadyland	2	0	1	1	1	1
ChiliPeppers	2	0	1	1	1	1
Dwight.Schrute	2	0	1	1	1	1
12/07/41	2	0	1	1	1	1
Olavikostlainen1	2	0	1	1	1	1
Nephilim666	2	0	1	1	1	1
BaraVaraSams	2	0	1	1	1	1
butofcourse	2	0	1	1	1	1
whatisnext	2	0	1	1	1	1
l150	2	0	1	1	1	1
[complex]	2	0	1	1	1	1
Krille.the.Petters...	2	0	1	1	1	1
Thuriaz	2	0	1	1	2	0
DoctorSun	2	0	1	1	1	1
KapatKonto	2	0	1	1	1	1
white.heavy.engine	2	0	1	1	1	1
V6.tuggummi	2	0	1	1	1	1
undrarson	2	0	1	1	1	1
superbrandbilen	2	0	1	1	1	1
sammyb0y	2	0	1	1	2	0
Nikasi	2	0	1	1	2	0
TakeYouOnACruise	2	0	1	1	1	1
JerzyWolodarski	2	0	1	1	1	1
znoppe	2	0	1	1	1	1
Imsdal93	2	0	1	1	1	1
9och0	2	0	1	1	1	1
BestCoast.	2	0	1	1	1	1
Chalas911	2	0	1	1	1	1
laozhu	2	0	1	1	1	1
aisha51	2	0	1	1	1	1
Agnetax	2	0	1	1	1	1
HuJintao	2	0	1	1	1	1
denxdam	2	0	1	1	1	1
Kulturman	2	0	1	1	1	1
Skojten	2	0	1	1	2	0
ZeunertsJulmust	2	0	1	1	1	1
Livsstilsparasit	2	0	1	1	1	1
bill clayton	2	0	1	1	1	1
Mmmm.harskarteknik	2	0	1	1	1	1
Loquita	2	0	1	1	1	1
mamma40	2	0	1	1	1	1
HonklerDanske	2	0	1	1	1	1
Gustav542	2	0	1	1	1	1
11433.08	2	0	1	1	1	1
Cuchullain	2	0	1	1	2	0
pollarn	2	0	1	1	2	0
Finnj-vel	2	0	1	1	1	1
Marie34Louise	2	0	1	1	1	1
PJ9	2	0	1	1	1	1
af-Sintistolpe	2	0	0	0	2	0
kadjinah	2	0	1	1	1	1
TopDog	2	0	1	1	1	1
Baalzamon	2	0	1	1	2	0
autokrat	2	0	1	1	1	1
KuKluxKlan	2	0	1	1	1	1
Arnold666	2	0	1	1	1	1
Vetgirig1	2	0	1	1	1	1
flashblakk	2	0	1	1	1	1
504umMadLad	2	0	0.5714285714	0.5714285714	1	1
schurrer	2	0	1	1	1	1
dontblamecain	2	0	1	1	1	1
MrPerfect72	2	0	1	1	1	1
Nordelf	2	0	0.8181818182	0.8181818182	1	1
mittra	2	0	1	1	1	1
Jfga	2	0	1	1	1	1
Meanderbetraktaren	2	0	1	1	1	1
AtlasShrugged	2	0	1	1	1	1
Paapen	2	0	1	1	1	1
LugnarNerMig	2	0	1	1	1	1
appael	2	0	1	1	1	1
SkogsKiosken	2	0	1	1	1	1
Benke-50	2	0	1	1	1	1
22juni41	2	0	1	1	1	1
Collectcall	2	0	1	1	1	1
Dr.Kati	2	0	1	1	1	1
gulbuss	2	0	1	1	1	1
cashiskung	2	0	1	1	1	1
EasyClap	2	0	1	1	1	1
oGH6Hw4jJ2JIqK9a	2	0	1	1	1	1
DarthMaul2000	2	0	1	1	1	1
AesopRock	2	0	0	0	1	1
Egotrippen	2	0	1	1	1	1
LibraryCop	2	0	1	1	2	0
JokerM	2	0	1	1	1	1
otroligtmesig	2	0	1	1	1	1
SnyggBil	2	0	1	1	1	1
Guntramshatterhand	2	0	1	1	1	1
studenten777	2	0	1	1	1	1
Eskapisterna	2	0	1	1	1	1
Merrybum	2	0	1	1	1	1
Amaratto	2	0	1	1	1	1
Huvudman	2	0	0.5	0.5	1	1
Bomboclat.el.bombo	2	0	1	1	1	1
shitinmyass	2	0	1	1	1	1
GR82BSTR8	2	0	1	1	1	1
nicememesbro	2	0	1	1	1	1
Yudas	2	0	1	1	1	1
Monologpolisen	2	0	1	1	2	0
subverteramera	2	0	1	1	1	1
ibraflash	2	0	1	1	1	1
Bajsdonator	2	0	1	1	1	1
Noot	2	0	1	1	1	1
morbrostewart	2	0	1	1	2	0
Tremadog	2	0	1	1	1	1
FLASHBACKE	2	0	1	1	1	1
Pestolera	2	0	1	1	1	1
Kalk-Allan	2	0	1	1	1	1
i74k	2	0	1	1	1	1
DeeSchool	2	0	1	1	1	1
Zitt	2	0	1	1	1	1
Itoy	2	0	1	1	1	1
Donald.Trams	2	0	1	1	1	1
benganbanan	2	0	1	1	2	0
Glio9	2	0	1	1	1	1
Hemligahesten	2	0	1	1	1	1
STABILO99	2	0	1	1	1	1
Hummm..	2	0	1	1	1	1
Snygginggg	2	0	1	1	1	1
GladaGurra	2	0	1	1	1	1
Frihetsbaronen	2	0	1	1	1	1
TheBDsaint	2	0	1	1	1	1
Ordboken	2	0	1	1	1	1
Fittarministern	2	0	1	1	1	1
sk33	2	0	1	1	1	1
Skohornet	2	0	1	1	1	1
SinnesFrisk	2	0	1	1	1	1
nicketsomgorenglad	2	0	1	1	1	1
Hotnutmix	2	0	1	1	2	0
beyondantares	2	0	1	1	1	1
Monsteria	2	0	1	1	1	1
flashback91	2	0	1	1	2	0
marre1998	2	0	1	1	1	1
athia	2	0	1	1	1	1
jonteboj	2	0	1	1	1	1
Eldamycke	2	0	1	1	1	1
nollkommanollnoll	2	0	1	1	1	1
dragonsneeze	2	0	1	1	1	1
Emlow	2	0	1	1	1	1
Muscarin	2	0	1	1	1	1
Dembotronen-2.0	2	0	1	1	1	1
J.R.	2	0	1	1	1	1
Smaka-mig	2	0	1	1	1	1
HasseBanan	2	0	1	1	1	1
nightbeast	2	0	1	1	1	1
Pressombudsmannen	2	0	1	1	1	1
Ennui	2	0	1	1	1	1
EnAnnanAnHan	2	0	1	1	1	1
Yttrandefriheten	2	0	1	1	1	1
Grafikkort	2	0	0	0	1	1
654654	2	0	0.6666666667	0.6666666667	1	1
Ackeson	2	0	1	1	1	1
zepofan	2	0	1	1	2	0
SvartaBjorn	2	0	1	1	1	1
Bullzapp	2	0	1	1	1	1
mjp	2	0	1	1	2	0
Direktdemokraterna	2	0	1	1	1	1
häger	2	0	1	1	2	0
Psalm169	2	0	1	1	2	0
vigillarfitta	2	0	1	1	1	1
Epikantus	2	0	1	1	1	1
Out-of-Step	2	0	1	1	1	1
tarnerdig	2	0	1	1	1	1
charlie1000	2	0	1	1	2	0
Omegagruppen	2	0	1	1	1	1
elljus15	2	0	1	1	1	1
Harmon	2	0	1	1	2	0
SleighBells	2	0	1	1	1	1
FX5000	2	0	1	1	1	1
kassiopejaIII	2	0	1	1	1	1
Watermaiden	2	0	1	1	1	1
systemkollaps	2	0	1	1	1	1
DenSomViskar	2	0	1	1	1	1
Laylah	2	0	1	1	1	1
VidgatBrugdgap	2	0	1	1	1	1
Knarkarjävlar	2	0	1	1	2	0
Maidenmartin	2	0	0	0	1	1
SiggeSpringnota	2	0	1	1	1	1
FugitiveDuck	2	0	1	1	1	1
Chenille	2	0	1	1	1	1
PaulTemple	2	0	1	1	1	1
LA8PV	2	0	1	1	1	1
Wuzzie	2	0	0	0	1	1
bengtjerry	2	0	1	1	1	1
2014rosor	2	0	1	1	1	1
volvosladd	2	0	1	1	1	1
insdel	2	0	1	1	1	1
DonSikiel	2	0	1	1	1	1
Skogsvindsackord	2	0	1	1	1	1
Jarnrorspolitiker	2	0	1	1	1	1
OnkelJodok	2	0	1	1	1	1
vafalls-	2	0	1	1	1	1
Savox	2	0	1	1	1	1
ReAnimater	2	0	1	1	1	1
radiopanna	2	0	1	1	1	1
JohanThe94	2	0	1	1	2	0
Tridnod	2	0	1	1	2	0
Marvinray	2	0	1	1	1	1
Eneg	2	0	1	1	1	1
Mack-Bolan	2	0	1	1	1	1
Gengarz	2	0	0.75	0.75	1	1
Griseknoen123	2	0	0	0	1	1
11217	2	0	1	1	1	1
InternetTuffing	2	0	1	1	1	1
TarzansFarsa	2	0	1	1	1	1
Hammarkungen	2	0	0.3333333333	0.3333333333	1	1
sarahh44	2	0	1	1	1	1
Kanindrottningen	2	0	1	1	2	0
Tibetanleguan	2	0	1	1	1	1
extremvanstern	2	0	1	1	1	1
FarligPsykPatient	2	0	1	1	1	1
Sekhmet	2	0	1	1	1	1
gummistovlan	2	0	1	1	1	1
Oeset.Joensson	2	0	1	1	1	1
eWhored	2	0	1	1	1	1
Motobike	2	0	0	0	1	1
EasilyOffended	2	0	1	1	1	1
apankalle	2	0	1	1	2	0
chimon	2	0	1	1	1	1
wastaah	2	0	0.1666666667	0.1666666667	1	1
ToddPacker	2	0	1	1	1	1
Tirpiz	2	0	1	1	1	1
flyzer	2	0	1	1	1	1
Varghaken	2	0	1	1	1	1
adressandring	2	0	1	1	1	1
nisse001	2	0	1	1	2	0
2anRules	2	0	1	1	1	1
Oy-vey	2	0	1	1	1	1
Wueterich	2	0	0.5	0.5	1	1
Clock10	2	0	1	1	1	1
Zera80	2	0	1	1	1	1
Inv4SD	2	0	1	1	1	1
Styracosaurus	2	0	1	1	1	1
Wooxan	2	0	1	1	1	1
InnocentBystander	2	0	1	1	1	1
InteMuhammed	2	0	1	1	1	1
HasseO	2	0	1	1	1	1
HolmgerKnutsson	2	0	1	1	1	1
Archibald51	2	0	0	0	1	1
Perignon	2	0	1	1	2	0
calling-dannyboy	2	0	1	1	1	1
Himmlerskan	2	0	1	1	1	1
tago	2	0	1	1	1	1
HeltVild	2	0	1	1	1	1
korsven	2	0	1	1	1	1
KaptenKamrat	2	0	1	1	1	1
primeprime	2	0	1	1	1	1
PilotHockey	2	0	1	1	1	1
KnaazMannen	2	0	1	1	1	1
FarbrorFlum	2	0	1	1	1	1
fallen-angel	2	0	1	1	1	1
garderobsnazist	2	0	1	1	1	1
orvar2014	2	0	1	1	1	1
Cornholio.	2	0	1	1	1	1
ojho	2	0	1	1	1	1
kabellist	2	0	1	1	1	1
Extasis	2	0	0	0	1	1
Vadaadaa	2	0	1	1	1	1
simulant	2	0	1	1	1	1
Tarningen	2	0	1	1	2	0
dark horse	2	0	1	1	1	1
SSG90	2	0	1	1	1	1
erroZ	2	0	1	1	1	1
Bajsnegrer	2	0	1	1	1	1
Pazuzu80	2	0	1	1	1	1
GhostsOfOnyx	2	0	1	1	1	1
korvbenke	2	0	1	1	1	1
Djeydjey	2	0	0	0	1	1
cheesycake77	2	0	1	1	1	1
EternalGlory	2	0	1	1	1	1
tryndagod	2	0	1	1	1	1
buuurp	2	0	1	1	1	1
Makramento	2	0	1	1	2	0
Joosa	2	0	1	1	2	0
MisterAdamov	2	0	1	1	1	1
TroPelleDet	2	0	1	1	1	1
grisafan	2	0	1	1	1	1
Accubond	2	0	1	1	1	1
botolf	2	0	1	1	2	0
usb3	2	0	1	1	1	1
ojvamysigt	2	0	1	1	1	1
arbogaerik	2	0	1	1	1	1
Uphill	2	0	1	1	1	1
trumpetsvamp	2	0	1	1	1	1
MrProsit	2	0	1	1	1	1
OggeOJ	2	0	1	1	1	1
Batongdansen	2	0	1	1	1	1
PerSkrylle	2	0	1	1	1	1
KungCharles2	2	0	1	1	1	1
Rundcrantz	2	0	1	1	2	0
FingolfinFinwesson	2	0	1	1	1	1
Septentrionarius	2	0	1	1	1	1
marcandrew	2	0	1	1	2	0
-TheRiddle-	2	0	1	1	2	0
UnicornMeat	2	0	1	1	1	1
Jonnytolv	2	0	1	1	1	1
1984FTW	2	0	1	1	1	1
DeFredlosa	2	0	1	1	1	1
Menimienai	2	0	1	1	2	0
daaim	2	0	1	1	1	1
DDD15	2	0	1	1	1	1
Bitewolf	2	0	1	1	1	1
Suntoucher	2	0	1	1	2	0
EWT	2	0	1	1	2	0
happyjoy	2	0	1	1	2	0
Nehej	2	0	1	1	1	1
Juliusdread	2	0	1	1	1	1
oldeuboi	2	0	1	1	1	1
saxenofc	2	0	1	1	1	1
antisocialist	2	0	1	1	1	1
Dristigheten	2	0	1	1	1	1
Knackenord	2	0	1	1	1	1
BobDabolina	2	0	1	1	2	0
ekorrerror	2	0	1	1	1	1
iSlashback	2	0	1	1	1	1
another-devil	2	0	1	1	2	0
KortStubin	2	0	1	1	1	1
viktigtinlagg	2	0	1	1	1	1
FlyingVolvo	2	0	1	1	1	1
chirico	2	0	0	0	2	0
postal	2	0	0	0	1	1
DoctorWho	2	0	0	0	1	1
AjaxWarrior	2	0	0	0	1	1
Rocket-Queen	2	0	0	0	1	1
Nih1l	2	0	0	0	2	0
laymedown	2	0	0	0	1	1
Folkfiende	2	0	0	0	2	0
Caligula Jones	2	0	0	0	1	1
IdiAmin	2	0	0	0	1	1
HemmaFru	2	0	0	0	2	0
Lagggavulin	2	0	0	0	1	1
reproach	2	0	0	0	1	1
myrdal	2	0	0	0	1	1
Cobalt	2	0	0	0	1	1
heson	2	0	0	0	1	1
thotthe	2	0	0	0	1	1
Poeten-Ske	2	0	0	0	1	1
Mephistopheles	2	0	0	0	1	1
Kuuki	2	0	0	0	1	1
trafalgar	2	0	0	0	1	1
Azrali	2	0	0	0	1	1
timpani	2	0	0	0	1	1
Emerthon	2	0	0	0	2	0
Scarface321	2	0	0	0	1	1
ratatosk66	2	0	0	0	1	1
doncorle	2	0	0	0	1	1
daSNix	2	0	0	0	1	1
Gunnar.West	2	0	0	0	1	1
Dampberger	2	0	0	0	2	0
Sebaot	2	0	0	0	2	0
StAugustin	2	0	0	0	1	1
%	2	0	0	0	1	1
Koios	2	0	0	0	2	0
Skrupelfri Knöl	2	0	0.6666666667	0.6666666667	1	1
Fabio80s	2	0	0	0	1	1
A-H	2	0	0	0	2	0
Geccko	2	0	0	0	2	0
kronan09	2	0	0.3333333333	0.3333333333	1	1
Cesare	2	0	0	0	2	0
ganzbrutal	2	0	0	0	1	1
agentsarcasmo	2	0	0	0	1	1
wallabazz	2	0	0	0	1	1
TotalLiberal	2	0	0.027027027	0.027027027	1	1
Attackliberal	2	0	0	0	1	1
Gainerexplosion	2	0	0	0	1	1
Adazanim	2	0	0	0	1	1
Hajvan	2	0	0	0	1	1
IdaMiRakel	2	0	0	0	1	1
Fennicum2	2	0	0	0	1	1
Klostergaard	2	0	0	0	1	1
Mithrilbrynja	2	0	0	0	1	1
dregen55	2	0	0	0	1	1
Reichsführer-AA	2	0	0	0	1	1
zaturn87	2	0	0	0	1	1
WeepingAdmiral	2	0	0	0	1	1
Wie bitte?	2	0	0	0	1	1
Robinho82	2	0	0	0	2	0
meister02	2	0	0	0	2	0
Nattvandraren	2	0	0	0	2	0
Telefonsamtal	2	0	1	1	1	1
PBUNisse	2	0	0	0	1	1
adoptivneger	2	0	0	0	1	1
karlstaden	2	0	0	0	1	1
Johan_zz	2	0	0	0	1	1
WinterTime	2	0	0	0	2	0
Merzzedes	2	0	1	1	1	1
Lemanic	2	0	0	0	1	1
Megalomania	2	0	0	0	2	0
BrainDisorder	2	0	0	0	1	1
torylane	2	0	0	0	1	1
poffa2	2	0	0	0	1	1
Allegiance	2	0	0	0	1	1
Benzona	2	0	0	0	1	1
supersmurfigt	2	0	0	0	1	1
Flashen1961	2	0	0	0	1	1
Herr Norrland	2	0	0	0	1	1
EraserP12	2	0	0	0	1	1
ensånTyrjaghar	2	0	0	0	1	1
Servia	2	0	0	0	1	1
TuloAsk	2	0	0	0	1	1
yidaki	2	0	0	0	1	1
Bulawayo	2	0	0	0	2	0
Strawlies	2	0	0	0	1	1
FarangDingDong	2	0	1	1	1	1
Siegestor	2	0	1	1	1	1
LysandeUtsikt	2	0	1	1	1	1
stenhogen	2	0	1	1	1	1
Monkeymoney22	2	0	1	1	1	1
Paddan1000	2	0	1	1	1	1
DisSid	2	0	1	1	1	1
Universell	2	0	1	1	1	1
Somaliasamtal	2	0	1	1	1	1
AusSchlauch	2	0	1	1	1	1
Elwy	2	0	1	1	1	1
Snöj	2	0	1	1	1	1
vetinteens	2	0	1	1	1	1
xmz	2	0	1	1	1	1
Frihetsministeriet	2	0	1	1	1	1
FrasseFitta	2	0	1	1	1	1
Autismpower	2	0	1	1	1	1
pastakastrullen	2	0	1	1	2	0
skyclad	2	0	1	1	1	1
Antagonist88	2	0	1	1	1	1
Bleke	2	0	1	1	1	1
Zaxxon	2	0	1	1	1	1
Thornhill	2	0	1	1	1	1
ojge	2	0	1	1	1	1
Mafouz	2	0	0	0	1	1
Anakin12	2	0	1	1	1	1
banansmakaren	2	0	1	1	1	1
Ramaskriet	2	0	1	1	1	1
failuretoexist	2	0	1	1	1	1
SnobbenL	2	0	1	1	1	1
intheloop	2	0	1	1	1	1
kranendroppar	2	0	1	1	1	1
IsraelWatch	2	0	1	1	1	1
Mysticism	2	0	1	1	1	1
rftg	2	0	0	0	1	1
MaricaHase	2	0	1	1	1	1
dook	2	0	1	1	1	1
Annanuki	2	0	1	1	1	1
TheRickiestRick	2	0	1	1	1	1
Finkelsten	2	0	1	1	1	1
Herrevadsbro1251	2	0	1	1	1	1
G13Haze	2	0	1	1	1	1
KungensKista	2	0	1	1	1	1
UnbearableSanity	2	0	1	1	1	1
LeonaHelmsley	2	0	1	1	1	1
Riksarkivarien	2	0	1	1	1	1
Johnnyhotter	2	0	1	1	1	1
SmokyBacon	2	0	1	1	1	1
ShadowStepz	2	0	1	1	1	1
Zambo	2	0	1	1	1	1
absque	2	0	1	1	1	1
Gerbanis	2	0	1	1	1	1
Moderation	2	0	0	0	1	1
Vitgardist	2	0	1	1	1	1
UUUUUU	2	0	1	1	1	1
monogam	2	0	1	1	1	1
Roxyn	2	0	0	0	1	1
de.Montfort	2	0	0	0	1	1
GrilladKyckling	2	0	1	1	1	1
Clidjur	2	0	1	1	1	1
mannemust	2	0	0	0	1	1
PellePM	2	0	1	1	1	1
Sturebadsriddaren	2	0	1	1	1	1
ziracorn	2	0	1	1	1	1
Sopaplayer	2	0	1	1	1	1
Feuer	2	0	1	1	1	1
Elvira96	2	0	1	1	1	1
OnlyTimeWillTell	2	0	1	1	1	1
Fascistoid	2	0	1	1	1	1
natione-suecos	2	0	1	1	2	0
Superkraft	2	0	1	1	1	1
gonesexuallywrong	2	0	1	1	1	1
1001PS	2	0	1	1	1	1
deman	2	0	1	1	1	1
nyttnytt	2	0	1	1	1	1
TooL	2	0	1	1	1	1
hulkenberg	2	0	1	1	1	1
Kraxz	2	0	0	0	1	1
Mike.Andersen	2	0	1	1	1	1
Browngreeneyes	2	0	1	1	1	1
bataki	2	0	1	1	1	1
crippledmf	2	0	1	1	1	1
Köttbulle	2	0	1	1	1	1
Altruistisk	2	0	1	1	1	1
Swedenhielms	2	0	1	1	2	0
Ettsjutretton	2	0	0.75	0.75	1	1
Sara.N	2	0	1	1	1	1
Bern666	2	0	1	1	2	0
Greensky	2	0	1	1	1	1
DerTotenkopf	2	0	1	1	1	1
Trivselgruppen	2	0	1	1	1	1
har-du-ens-betyg	2	0	1	1	1	1
Wendelstein	2	0	1	1	1	1
