year	speaker	innovativity	exposure_to_c	exposure_to_i
2005	lemonzhello		0.0	0.0
2006	lemonzhello		0.0	0.0
2007	lemonzhello		0.0	0.0
2008	lemonzhello		0.0	0.0
2009	lemonzhello		0.0	0.0
2010	lemonzhello		0.0	0.0
2011	lemonzhello		0.0	0.0
2012	lemonzhello		0.0	0.0
2013	lemonzhello		0.0	0.0
2014	lemonzhello		0.0	0.0
2015	lemonzhello		0.0	0.0
2016	lemonzhello		0.0	0.0
2017	lemonzhello	1.0	0.0	0.0
2018	lemonzhello		0.0	0.0
2019	lemonzhello		0.0	0.0
2020	lemonzhello		0.0	0.0
2021	lemonzhello		0.0	0.0
2022	lemonzhello		0.0	0.0
2000	jugbandblues		0.0	0.0
2001	jugbandblues		0.0	0.0
2002	jugbandblues		0.0	0.0
2003	jugbandblues		0.0	0.0
2004	jugbandblues		0.0	0.0
2005	jugbandblues		0.0	0.0
2006	jugbandblues		0.0	0.0
2007	jugbandblues		0.0	0.0
2008	jugbandblues		0.0	0.0
2009	jugbandblues		0.0	0.0
2010	jugbandblues		0.0	0.0
2011	jugbandblues		0.0	0.0
2012	jugbandblues		0.0	0.0
2013	jugbandblues		0.0	0.0
2014	jugbandblues		0.0	0.0
2015	jugbandblues		0.0	0.0
2016	jugbandblues		0.0	0.0
2017	jugbandblues	1.0	0.0	0.0
2018	jugbandblues		0.0	0.0
2019	jugbandblues		0.0	0.0
2020	jugbandblues		0.0	0.0
2021	jugbandblues		0.0	0.0
2022	jugbandblues		0.0	0.0
2000	ThinkTank111		0.0	0.0
2001	ThinkTank111		0.0	0.0
2002	ThinkTank111		0.0	0.0
2003	ThinkTank111		0.0	0.0
2004	ThinkTank111		0.0	0.0
2005	ThinkTank111		0.0	0.0
2006	ThinkTank111		0.0	0.0
2007	ThinkTank111		0.0	0.0
2008	ThinkTank111		0.0	0.0
2009	ThinkTank111		0.0	0.0
2010	ThinkTank111		0.0	0.0
2011	ThinkTank111		0.0	0.0
2012	ThinkTank111		0.0	0.0
2013	ThinkTank111		0.0	0.0
2014	ThinkTank111		0.0	0.0
2015	ThinkTank111		0.0	0.0
2016	ThinkTank111		0.0	0.0
2017	ThinkTank111	1.0	0.0	1.0
2018	ThinkTank111		0.0	0.0
2019	ThinkTank111		0.0	0.0
2020	ThinkTank111		0.0	0.0
2021	ThinkTank111		0.0	0.0
2022	ThinkTank111		0.0	0.0
2000	aves8888		0.0	0.0
2001	aves8888		0.0	0.0
2002	aves8888		0.0	0.0
2003	aves8888		0.0	0.0
2004	aves8888		0.0	0.0
2005	aves8888		0.0	0.0
2006	aves8888		0.0	0.0
2007	aves8888		0.0	0.0
2008	aves8888		0.0	0.0
2009	aves8888		0.0	0.0
2010	aves8888		0.0	0.0
2011	aves8888		0.0	0.0
2012	aves8888		0.0	0.0
2013	aves8888		0.0	0.0
2014	aves8888		0.0	0.0
2015	aves8888		0.0	0.0
2016	aves8888		0.0	0.0
2017	aves8888	1.0	0.0	1.0
2018	aves8888		0.0	0.0
2019	aves8888		0.0	0.0
2020	aves8888		0.0	0.0
2021	aves8888		0.0	0.0
2022	aves8888		0.0	0.0
2000	Soltorkadetomater		0.0	0.0
2001	Soltorkadetomater		0.0	0.0
2002	Soltorkadetomater		0.0	0.0
2003	Soltorkadetomater		0.0	0.0
2004	Soltorkadetomater		0.0	0.0
2005	Soltorkadetomater		0.0	0.0
2006	Soltorkadetomater		0.0	0.0
2007	Soltorkadetomater		0.0	0.0
2008	Soltorkadetomater		0.0	0.0
2009	Soltorkadetomater		0.0	0.0
2010	Soltorkadetomater		0.0	0.0
2011	Soltorkadetomater		0.0	0.0
2012	Soltorkadetomater		0.0	0.0
2013	Soltorkadetomater		0.0	0.0
2014	Soltorkadetomater		0.0	0.0
2015	Soltorkadetomater		0.0	0.0
2016	Soltorkadetomater		0.0	0.0
2017	Soltorkadetomater		0.0	0.0
2018	Soltorkadetomater		0.0	0.0
2019	Soltorkadetomater		0.0	0.0
2020	Soltorkadetomater	1.0	0.0	0.0
2021	Soltorkadetomater		0.0	0.0
2022	Soltorkadetomater		0.0	0.0
2000	A.Ericsson		0.0	0.0
2001	A.Ericsson		0.0	0.0
2002	A.Ericsson		0.0	0.0
2003	A.Ericsson		0.0	0.0
2004	A.Ericsson		0.0	0.0
2005	A.Ericsson		0.0	0.0
2006	A.Ericsson		0.0	0.0
2007	A.Ericsson		0.0	0.0
2008	A.Ericsson		0.0	0.0
2009	A.Ericsson		0.0	0.0
2010	A.Ericsson		0.0	0.0
2011	A.Ericsson		0.0	0.0
2012	A.Ericsson		0.0	0.0
2013	A.Ericsson		0.0	0.0
2014	A.Ericsson		0.0	0.0
2015	A.Ericsson		0.0	0.0
2016	A.Ericsson		0.0	0.0
2017	A.Ericsson		0.0	0.0
2018	A.Ericsson		0.0	0.0
2019	A.Ericsson		0.0	0.0
2020	A.Ericsson	1.0	0.0	0.0
2021	A.Ericsson		0.0	0.0
2022	A.Ericsson		0.0	0.0
2000	Inishal47		0.0	0.0
2001	Inishal47		0.0	0.0
2002	Inishal47		0.0	0.0
2003	Inishal47		0.0	0.0
2004	Inishal47		0.0	0.0
2005	Inishal47		0.0	0.0
2006	Inishal47		0.0	0.0
2007	Inishal47		0.0	0.0
2008	Inishal47		0.0	0.0
2009	Inishal47		0.0	0.0
2010	Inishal47		0.0	0.0
2011	Inishal47		0.0	0.0
2012	Inishal47		0.0	0.0
2013	Inishal47		0.0	0.0
2014	Inishal47		0.0	0.0
2015	Inishal47		0.0	0.0
2016	Inishal47		0.0	0.0
2017	Inishal47		0.0	0.0
2018	Inishal47		0.0	0.0
2019	Inishal47		0.0	0.0
2020	Inishal47	1.0	0.0	0.0
2021	Inishal47		0.0	0.0
2022	Inishal47		0.0	0.0
2000	XX-Ambar		0.0	0.0
2001	XX-Ambar		0.0	0.0
2002	XX-Ambar		0.0	0.0
2003	XX-Ambar		0.0	0.0
2004	XX-Ambar		0.0	0.0
2005	XX-Ambar		0.0	0.0
2006	XX-Ambar		0.0	0.0
2007	XX-Ambar		0.0	0.0
2008	XX-Ambar		0.0	0.0
2009	XX-Ambar		0.0	0.0
2010	XX-Ambar		0.0	0.0
2011	XX-Ambar		0.0	0.0
2012	XX-Ambar		0.0	0.0
2013	XX-Ambar		0.0	0.0
2014	XX-Ambar		0.0	0.0
2015	XX-Ambar		0.0	0.0
2016	XX-Ambar		0.0	0.0
2017	XX-Ambar		0.0	0.0
2018	XX-Ambar		0.0	0.0
2019	XX-Ambar		0.0	0.0
2020	XX-Ambar	1.0	0.0	0.0
2021	XX-Ambar		0.0	0.0
2022	XX-Ambar		0.0	0.0
2000	sibbann		0.0	0.0
2001	sibbann		0.0	0.0
2002	sibbann		0.0	0.0
2003	sibbann		0.0	0.0
2004	sibbann		0.0	0.0
2005	sibbann		0.0	0.0
2006	sibbann		0.0	0.0
2007	sibbann		0.0	0.0
2008	sibbann		0.0	0.0
2009	sibbann		0.0	0.0
2010	sibbann		0.0	0.0
2011	sibbann		0.0	0.0
2012	sibbann		0.0	0.0
2013	sibbann		0.0	0.0
2014	sibbann		0.0	0.0
2015	sibbann		0.0	0.0
2016	sibbann		0.0	0.0
2017	sibbann		0.0	0.0
2018	sibbann		0.0	0.0
2019	sibbann		0.0	0.0
2020	sibbann	1.0	0.0	0.0
2021	sibbann		0.0	0.0
2022	sibbann		0.0	0.0
2000	Drozd		0.0	0.0
2001	Drozd		0.0	0.0
2002	Drozd		0.0	0.0
2003	Drozd		0.0	0.0
2004	Drozd		0.0	0.0
2005	Drozd		0.0	0.0
2006	Drozd		0.0	0.0
2007	Drozd		0.0	0.0
2008	Drozd		0.0	0.0
2009	Drozd		0.0	0.0
2010	Drozd		0.0	0.0
2011	Drozd		0.0	0.0
2012	Drozd		0.0	0.0
2013	Drozd		0.0	0.0
2014	Drozd		0.0	0.0
2015	Drozd		0.0	0.0
2016	Drozd		0.0	0.0
2017	Drozd		0.0	0.0
2018	Drozd		0.0	0.0
2019	Drozd		0.0	0.0
2020	Drozd	1.0	0.0	0.0
2021	Drozd		0.0	0.0
2022	Drozd		0.0	0.0
2000	Flashcash		0.0	0.0
2001	Flashcash		0.0	0.0
2002	Flashcash		0.0	0.0
2003	Flashcash		0.0	0.0
2004	Flashcash		0.0	0.0
2005	Flashcash		0.0	0.0
2006	Flashcash		0.0	0.0
2007	Flashcash		0.0	0.0
2008	Flashcash		0.0	0.0
2009	Flashcash		0.0	0.0
2010	Flashcash		0.0	0.0
2011	Flashcash	0.0	0.0	0.0
2012	Flashcash		0.0	0.0
2013	Flashcash		0.0	0.0
2014	Flashcash		0.0	0.0
2015	Flashcash		0.0	0.0
2016	Flashcash		0.0	0.0
2017	Flashcash		0.0	0.0
2018	Flashcash		0.0	0.0
2019	Flashcash		0.0	0.0
2020	Flashcash		0.0	1.0
2021	Flashcash		0.0	0.0
2022	Flashcash		0.0	0.0
2000	Avsiktaren		0.0	0.0
2001	Avsiktaren		0.0	0.0
2002	Avsiktaren		0.0	0.0
2003	Avsiktaren		0.0	0.0
2004	Avsiktaren		0.0	0.0
2005	Avsiktaren		0.0	0.0
2006	Avsiktaren		0.0	0.0
2007	Avsiktaren		0.0	0.0
2008	Avsiktaren		0.0	0.0
2009	Avsiktaren		0.0	0.0
2010	Avsiktaren		0.0	0.0
2011	Avsiktaren	0.0	0.0	0.0
2012	Avsiktaren		0.0	0.0
2013	Avsiktaren		0.0	0.0
2014	Avsiktaren		0.0	0.0
2015	Avsiktaren		0.0	0.0
2016	Avsiktaren		0.0	0.0
2017	Avsiktaren		0.0	0.0
2018	Avsiktaren		0.0	0.0
2019	Avsiktaren		0.0	0.0
2020	Avsiktaren		0.0	0.0
