ID	Verb	Category_SAG	Att_present_SAG	Comment_SAG	Category_Lagervall	Att_present_Lagervall	Att_omission_Lagervall	Category_Bylin	Att_present_Bylin	Att_omission_Bylin	Category_Mjöberg	Att-present_Mjöberg	Category_Own	Variation_reported	Sample_Narrow_1	Sample_Narrow_2	Att_present_Familjeliv_2009	Att_Familjeliv_trend	Familjeliv_data
ID184	förakta	Värdering	Yes										Value	No	Include	Include			
ID185	föredra	Värdering	Yes										Value	No	Include	Include			
ID145	förefalla	Epistemic	No								ingen	Yes_but_omission_possible	Modal	Yes	Include	Include			
ID178	förmå	Potentiell	No								ingen	Yes_but_omission_possible	Potential	Yes	Include	Include			
ID23	försöka	Initiativ	Optional		modalliknande_verb	5.2%	94.8%				ingen	Optional	Initiative	Yes	Include	Include	5%	descrease	
ID171	förstå	Potentiell	Yes										Potential	No	Include	Include			
ID26	försumma	Initiativ	Yes								ingen	Yes_but_omission_possible	Initiative	Yes	Include	Include			
ID177	förtjäna	Potentiell	Yes								ingen	Optional	Potential	Yes	Include	Include			
ID9	fortsätta	Aktionell	Optional					aspektuell	63%	37%			Aspectual	Yes	Include	Include	39%	decrease	
ID18	frukta	Fruktan_mm	Optional										Emotion	Yes	Include	Include	100%	stable	little
ID188	gilla	Värdering	Yes										Value	No	Include	Include	96%		
ID29	gitta	Intentionell	No										Intentional	No	Include	Include			
ID25	glömma	Initiativ	Optional								ingen	Yes_but_omission_possible	Initiative	Yes	Include	Include	15%	increase	
ID143	ha	Deontisk	Yes										Modal	No	Include	Include			
ID189	hata	Värdering	Yes										Value	No	Include	Include			
ID175	hinna	Potentiell	No		modalliknande_verb	0.9%	99.1%				ingen	Optional	Potential	Yes	Include	Include			
ID15	hoppas	Fruktan_mm	Optional			5.0%					modala_hjälpverb_frändskap	No_but_possible	Emotion	Yes	Include	Include	NaN	NaN	
ID43	hota	Aktionell/Intentionell	Yes					aspektuell	84%	16%	ingen	Yes_but_omission_possible	Intentional	Yes	Include	Include	88%	stable	
ID30	idas	Intentionell	No										Intentional	No	Include	Include			
ID182	komma	Temporal/Aktionell	Yes	Aktionell = "råka"							ingen	Yes_but_omission_possible	Temporal	Yes	Include	Include			
ID132	kunna	Epistemisk/Deontisk/Potentiell	No	Epistemisk: "Det är möjligt att" / Deontisk: "vara tillåtet att, måste"	centrala_modala_hjälpverb	0.1%	99.9%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include			
ID127	lär	Epistemic	No		övriga_modala_verb	0.0%	100.0%				ingen	No_without_exception	Modal	No	Include	Include			
ID19	låta	Initiativ	No		övriga_modala_verb	0.1%	99.9%						Initiative	No	Include	Include			
ID22	låtsas	Initiativ	Optional								ingen	No_without_exception	Initiative	Yes	Include	Include			
ID40	lova	Intentionell	Optional	även med indirekt objekt							ingen	Optional	Intentional	Yes	Include	Include	87%	stable	
ID176	lyckas	Potentiell	Optional			5.0%					ingen	Optional	Potential	Yes	Include	Include			
ID128	må	Epistemic	No		övriga_modala_verb	0.0%	100.0%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include			
ID170	mäkta	Potentiell	No										Potential	No	Include	Include			
ID129	måste	Epistemisk / Deontisk	No	Epistemisk: "Med nödvändighet"	centrala_modala_hjälpverb	0.0%	100.0%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include			
ID37	nännas	Intentionell	No								ingen	Optional	Intentional	Yes	Include	Include			
ID21	negligera	Initiativ	Yes										Initiative	No	Include	Include			
ID16	önska	Fruktan_mm	Optional								modala_hjälpverb_frändskap	No_but_possible	Emotion	Yes	Include	Include	17%	stable	
ID180	orka	Potentiell	No		modalliknande_verb	2.5%	97.5%						Potential	Yes	Include	Include			
ID33	överväga	Intentionell	Yes										Intentional	No	Include	Include			
ID6	pläga	Aktionell	No								ingen	Optional	Aspectual	Yes	Include	Include	0%	stable	little
ID42	planera	Intentionell	Optional								ingen	Yes_but_omission_possible	Intentional	Yes	Include	Include			
ID5	råka	Aktionell	No		modalliknande_verb	0.0%	100.0%				ingen	Optional	Aspectual	Yes	Include	Include	0%	stable	
ID1	riskera	Aktionell	Yes										Aspectual	No	Include	Include	90%	decrease	
ID190	sakna	Värdering	Yes										Value	No	Include	Include			
ID131	skola	Deontisk/Temporal	No		centrala_modala_hjälpverb	0.0%	100.0%				modala_hjälpverb_trängre_mening	No_without_exception	Modal	No	Include	Include	0%		
ID146	slippa	Deontisk	No		modalliknande_verb	8.2%	91.8%						Modal	Yes	Include	Include	2%		
ID8	sluta	Aktionell	Optional		modalliknande_verb	15.2%	84.8%	aspektuell	19%	81%			Aspectual	Yes	Include	Include	7%	decrease	
ID24	söka	Initiativ	Optional			10.0%					ingen	Optional	Initiative	Yes	Include	Include			
ID34	svära	Intentionell	Yes										Intentional	No	Include	Include			
ID134	synas	Epistemic	No								ingen	No_without_exception	Modal	No	Include	Include			
ID38	täckas	Intentionell	No	ålderdomligt							ingen	Optional	Intentional	Yes	Include	Include			
ID179	tåla	Potentiell	Yes								ingen	Yes_but_omission_possible	Potential	Yes	Include	Include			
