"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"stanna"	"577"	"4"	"10"	"6"	"5"	"21"	"12"	"24"	"25"	"18"	"34"	"39"	"47"	"67"	"57"	"49"	"38"	"45"	"29"	"34"	"13"	"0"
"sända"	"577"	"1"	"7"	"13"	"20"	"22"	"24"	"30"	"36"	"25"	"34"	"45"	"35"	"35"	"22"	"28"	"44"	"56"	"49"	"29"	"22"	"0"
"betala"	"577"	"1"	"11"	"9"	"14"	"25"	"42"	"18"	"22"	"23"	"39"	"36"	"59"	"51"	"54"	"42"	"28"	"38"	"21"	"24"	"20"	"0"
"sitta"	"567"	"1"	"7"	"8"	"10"	"16"	"13"	"34"	"10"	"33"	"34"	"50"	"37"	"54"	"68"	"47"	"40"	"24"	"29"	"42"	"10"	"0"
"förändra"	"553"	"0"	"7"	"3"	"12"	"12"	"10"	"12"	"29"	"25"	"38"	"31"	"47"	"57"	"66"	"48"	"42"	"39"	"33"	"23"	"19"	"0"
"undersöka"	"551"	"0"	"4"	"3"	"14"	"7"	"20"	"14"	"21"	"14"	"26"	"35"	"43"	"64"	"58"	"56"	"48"	"37"	"35"	"28"	"24"	"0"
"sluta"	"547"	"4"	"6"	"6"	"13"	"18"	"16"	"20"	"29"	"20"	"30"	"39"	"50"	"51"	"51"	"51"	"42"	"32"	"24"	"33"	"12"	"0"
"ersätta"	"547"	"1"	"8"	"9"	"15"	"20"	"26"	"32"	"18"	"22"	"39"	"31"	"57"	"49"	"42"	"37"	"28"	"43"	"33"	"27"	"10"	"0"
"driva"	"544"	"1"	"9"	"9"	"15"	"16"	"23"	"32"	"22"	"14"	"44"	"41"	"63"	"55"	"49"	"34"	"42"	"22"	"18"	"23"	"12"	"0"
"hjälpa"	"544"	"0"	"5"	"4"	"3"	"15"	"19"	"18"	"15"	"23"	"46"	"24"	"41"	"53"	"50"	"43"	"37"	"44"	"32"	"53"	"19"	"0"
"säga"	"541"	"1"	"11"	"13"	"14"	"39"	"38"	"35"	"25"	"24"	"39"	"35"	"31"	"54"	"42"	"31"	"37"	"20"	"24"	"20"	"8"	"0"
"dela"	"541"	"1"	"5"	"10"	"14"	"29"	"18"	"21"	"18"	"31"	"32"	"44"	"44"	"57"	"37"	"47"	"32"	"45"	"34"	"18"	"4"	"0"
"släppa"	"536"	"0"	"4"	"5"	"8"	"12"	"26"	"16"	"17"	"26"	"32"	"33"	"41"	"45"	"40"	"53"	"51"	"31"	"58"	"23"	"15"	"0"
"åka"	"534"	"2"	"5"	"7"	"10"	"14"	"17"	"19"	"17"	"20"	"31"	"43"	"36"	"58"	"39"	"53"	"58"	"30"	"29"	"34"	"12"	"0"
"lösa"	"528"	"1"	"3"	"4"	"12"	"11"	"14"	"13"	"18"	"27"	"29"	"39"	"56"	"66"	"50"	"50"	"37"	"31"	"31"	"22"	"14"	"0"
"starta"	"528"	"0"	"8"	"13"	"16"	"33"	"24"	"13"	"21"	"17"	"20"	"24"	"42"	"53"	"54"	"45"	"41"	"40"	"34"	"18"	"12"	"0"
"hamna"	"527"	"1"	"9"	"6"	"18"	"21"	"27"	"27"	"17"	"22"	"31"	"35"	"61"	"46"	"52"	"38"	"37"	"24"	"19"	"25"	"11"	"0"
"äga"	"512"	"1"	"12"	"8"	"12"	"10"	"27"	"24"	"23"	"23"	"26"	"43"	"37"	"46"	"30"	"41"	"39"	"34"	"32"	"24"	"20"	"0"
"titta"	"512"	"1"	"1"	"6"	"5"	"10"	"12"	"16"	"11"	"27"	"32"	"43"	"37"	"50"	"50"	"34"	"49"	"44"	"41"	"24"	"19"	"0"
"fatta"	"502"	"3"	"5"	"5"	"11"	"17"	"23"	"22"	"18"	"17"	"28"	"33"	"43"	"47"	"33"	"24"	"40"	"66"	"30"	"27"	"10"	"0"
"sakna"	"501"	"0"	"6"	"5"	"8"	"16"	"11"	"11"	"19"	"22"	"25"	"30"	"54"	"35"	"52"	"32"	"46"	"44"	"33"	"37"	"15"	"0"
"möta"	"499"	"1"	"10"	"4"	"11"	"22"	"20"	"13"	"16"	"20"	"36"	"28"	"57"	"44"	"61"	"41"	"27"	"28"	"21"	"23"	"16"	"0"
"handla"	"495"	"3"	"4"	"6"	"12"	"10"	"28"	"18"	"19"	"16"	"24"	"32"	"42"	"56"	"67"	"42"	"37"	"31"	"26"	"13"	"9"	"0"
"vinna"	"486"	"1"	"4"	"7"	"14"	"6"	"12"	"16"	"17"	"17"	"31"	"33"	"31"	"62"	"51"	"48"	"40"	"31"	"18"	"36"	"11"	"0"
"bidra"	"477"	"0"	"6"	"6"	"7"	"8"	"18"	"23"	"11"	"18"	"34"	"33"	"55"	"49"	"53"	"24"	"29"	"30"	"17"	"37"	"19"	"0"
"tvinga"	"473"	"1"	"7"	"14"	"20"	"36"	"30"	"21"	"28"	"20"	"34"	"35"	"44"	"36"	"27"	"22"	"24"	"28"	"19"	"20"	"7"	"0"
