"lemma"	"Totalt"	"SVT nyheter 2004"	"SVT nyheter 2005"	"SVT nyheter 2006"	"SVT nyheter 2007"	"SVT nyheter 2008"	"SVT nyheter 2009"	"SVT nyheter 2010"	"SVT nyheter 2011"	"SVT nyheter 2012"	"SVT nyheter 2013"	"SVT nyheter 2014"	"SVT nyheter 2015"	"SVT nyheter 2016"	"SVT nyheter 2017"	"SVT nyheter 2018"	"SVT nyheter 2019"	"SVT nyheter 2020"	"SVT nyheter 2021"	"SVT nyheter 2022"	"SVT nyheter 2023"	"SVT nyheter okänt datum"
"få_rätt"	"14"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"0"	"3"	"2"	"1"	"1"	"0"	"0"
"pryda"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"2"	"2"	"0"	"0"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"0"
"hindra"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"2"	"3"	"0"	"1"	"0"	"0"
"rubricera"	"14"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"2"	"0"	"2"	"2"	"0"	"0"	"1"	"0"
"fördubbla"	"14"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"1"	"2"	"1"	"0"	"1"	"0"	"0"
"klara_upp"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"6"	"0"	"2"	"0"	"1"	"1"	"0"	"0"
"inspirera"	"14"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"4"	"0"	"1"	"2"	"2"	"2"	"0"	"0"
"gripa"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"3"	"4"	"1"	"1"	"0"	"1"	"0"	"0"
"ändra_sig"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"0"	"1"	"0"	"1"	"3"	"1"	"1"	"1"	"0"
"vända_sig"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"0"	"2"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"
"kompensera"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"4"	"2"	"0"
"gilla"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"2"	"1"	"1"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"0"
"bero"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"6"	"0"	"1"	"1"	"0"
"säkerställa"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"2"	"3"	"2"	"0"	"2"	"0"	"0"
"göra_ont"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"4"	"0"	"2"	"1"	"3"	"0"	"1"	"1"	"0"	"0"
"starta_upp"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"1"	"2"	"1"	"3"	"2"	"2"	"0"	"0"
"spendera"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"1"	"0"	"1"	"4"	"3"	"1"	"1"	"0"
"husera"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"3"	"1"	"1"	"3"	"1"	"0"	"1"	"0"
"bemanna"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"3"	"2"	"3"	"0"	"1"	"0"	"0"
"dricka"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"3"	"3"	"1"	"1"	"1"	"1"	"0"
"cykla"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"5"	"2"	"1"	"1"	"1"	"1"	"1"	"0"
"få_besök"	"13"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"3"	"1"	"2"	"0"	"1"	"0"	"1"	"2"	"1"	"0"
"gå_av_stapeln"	"13"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"0"	"1"	"1"	"0"	"1"	"0"
"bygga_om"	"13"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"2"	"0"	"1"	"1"	"2"	"0"	"2"	"0"	"1"	"0"
"renovera"	"13"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"3"	"1"	"4"	"1"	"0"	"0"	"0"	"0"
"jaga"	"13"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"2"	"3"	"2"	"0"	"1"	"0"	"0"
"utspela_sig"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"2"	"1"	"0"	"1"	"1"	"0"
"uppfylla"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"1"	"1"	"1"	"3"	"0"	"0"	"0"
"stämma"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"0"	"1"	"0"
"patrullera"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"4"	"0"	"1"	"0"
"låna"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"1"	"1"	"1"	"0"	"1"	"1"	"0"
"lansera"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"
"dra_sig"	"13"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"1"	"3"	"2"	"1"	"0"	"3"	"0"	"0"
"backa"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"0"	"0"	"1"	"0"
"skjuta_upp"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"4"	"5"	"1"	"0"	"0"
"hålla_kvar"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"1"	"2"	"1"	"0"	"2"	"0"	"0"
"rekommendera"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"0"	"3"	"0"	"2"	"0"	"2"	"3"	"0"	"0"
"möjliggöra"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"2"	"3"	"2"	"0"
"bete_sig"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"3"	"2"	"1"	"3"	"0"	"0"	"0"
"bestämma"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"4"	"1"	"0"	"1"	"0"	"3"	"1"	"0"	"1"	"0"
"ladda"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"1"	"0"	"3"	"2"	"2"	"2"	"0"	"0"	"0"	"0"
"utfärda"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"3"	"0"	"0"
"förhandla"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"4"	"2"	"1"	"1"	"1"	"1"	"0"
"bedöma"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"2"	"1"	"2"	"0"	"2"	"0"
"utforma"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"2"	"1"	"3"	"1"	"0"	"0"
"stöta"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"0"	"2"	"1"	"1"	"2"	"0"	"0"	"0"
"smälla"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"3"	"0"	"2"	"1"	"1"	"0"
"slippa"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"1"	"1"	"0"
"montera"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"1"	"1"	"2"	"1"	"1"	"0"	"0"
"tända"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"4"	"1"	"1"	"1"	"1"	"1"	"3"	"0"	"0"
"bli_utan"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"1"	"0"	"2"	"2"	"1"	"1"	"0"	"2"	"0"
"lysa"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"5"	"1"	"1"	"2"	"0"	"2"	"0"	"0"
"öva"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"6"	"1"	"0"	"0"	"1"	"1"	"0"	"0"
"konkurrera"	"12"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"2"	"0"	"2"	"1"	"1"	"0"	"0"	"0"
"verka"	"12"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"3"	"0"	"1"	"2"	"2"	"0"	"0"
"avsätta"	"12"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"4"	"1"	"0"	"1"	"1"	"1"	"0"	"0"
"ta_tiden"	"12"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"1"	"2"	"2"	"0"
"nyttja"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"1"	"3"	"0"	"0"
"lägga_upp"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"2"	"0"	"0"	"2"	"0"	"2"	"1"	"0"	"0"	"1"	"1"	"0"
"hinna_med"	"12"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"0"	"1"	"2"	"0"	"3"	"0"	"1"	"0"	"1"	"0"	"0"	"0"
"dansa"	"12"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"5"	"1"	"1"	"2"	"0"	"0"
"vakna"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"2"	"1"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"
"tillhöra"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"
"ställa_till_det"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"4"	"0"
"ge_upp"	"12"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"1"	"1"	"0"	"0"	"1"	"1"	"0"	"2"	"2"	"0"
"koppla"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"1"	"1"	"0"
"slå_tillbaka"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"1"	"2"	"1"	"0"	"0"	"1"	"0"
"hämta"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"1"	"1"	"2"	"0"	"2"	"0"	"0"
"försvara"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"2"	"3"	"0"
"belasta"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"1"	"0"	"3"	"0"	"2"	"0"	"0"
"förvandla"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"3"	"1"	"2"	"0"	"0"	"1"	"2"	"0"	"0"
"lyfta_fram"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"0"	"2"	"1"	"2"	"1"	"2"	"0"	"0"	"0"
"uttala"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"0"	"5"	"1"	"0"	"1"	"0"	"0"	"0"
"fria"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"4"	"0"	"0"	"3"	"0"	"0"
"överlämna"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"2"	"1"	"0"	"0"	"1"	"1"	"0"
"stabilisera"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"2"	"2"	"1"	"3"	"1"	"0"	"0"
"släppa_in"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"0"	"1"	"5"	"2"	"1"	"0"	"0"
"mynna"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"2"	"2"	"1"	"0"
"respektera"	"11"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"1"	"1"	"0"
"offentliggöra"	"11"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"
"skilja_sig"	"11"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"0"
"utbilda"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"1"	"0"	"3"	"0"	"1"	"0"	"0"	"0"
"skydda"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"1"	"1"	"2"	"1"	"0"
"löpa"	"11"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"2"	"0"	"1"	"0"	"0"
"ta_fart"	"11"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"2"	"1"	"3"	"1"	"0"
"löna"	"11"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"
"löna_sig"	"11"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"1"	"2"	"2"	"0"	"0"	"0"
"övergå"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"0"	"0"	"4"	"0"	"2"	"0"
"besvara"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"2"	"2"	"2"	"1"	"1"	"1"	"0"	"0"	"0"
"begå"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"2"	"2"	"1"	"2"	"1"	"0"	"0"	"0"
"anlita"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"2"	"3"	"2"	"1"	"0"	"0"
"avslöja"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"	"2"	"0"	"3"	"1"	"0"	"0"
"låsa"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"1"	"1"	"3"	"0"	"1"	"1"	"1"	"0"
"laga"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"1"	"4"	"1"	"0"	"1"	"0"	"0"	"1"	"1"	"0"
"göra_sitt_bästa"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"3"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"0"	"0"
"förhindra"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"0"
"föra_sig"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"2"	"1"	"0"	"1"	"1"	"0"
"komma_igång"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"0"	"3"	"0"	"2"	"0"	"1"	"1"	"0"
"ge_sig_ut"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"2"	"1"	"1"	"0"	"0"
"slå_sig"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"2"	"0"	"3"	"2"	"0"	"0"	"0"	"0"
"lugna"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"0"	"3"	"0"	"0"
"betala_sig"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"1"	"2"	"3"	"0"	"0"	"1"	"0"	"2"	"0"	"0"
"utmana"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"3"	"1"	"0"	"2"	"2"	"0"	"0"
"ställa_om"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"0"	"1"	"1"	"1"	"1"	"1"	"2"	"1"	"0"	"0"
"släppa_ut"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"0"	"4"	"0"	"0"	"1"	"3"	"0"	"0"
"reglera"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"1"	"4"	"4"	"0"	"0"	"0"	"0"
"uttala_sig"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"5"	"1"	"0"	"1"	"0"	"0"	"0"
"stå_fast"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"3"	"1"	"1"	"0"	"2"	"0"	"1"	"0"
"rekrytera"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"4"	"2"	"0"	"2"	"0"	"0"	"1"	"0"	"0"
"fråga"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"1"	"4"	"0"	"1"	"0"	"0"	"3"	"0"
"ha_sitt"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"2"	"1"	"2"	"2"	"0"	"0"
"ryka"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"1"	"2"	"2"	"0"	"0"	"3"	"0"
"bygga_ut"	"10"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"
"avliva"	"10"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"0"	"3"	"0"	"3"	"0"
"rätta"	"10"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"2"	"0"	"1"	"1"	"1"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"
"gå_hem"	"10"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"1"	"0"	"1"	"1"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"0"	"0"
"tacka"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"2"	"1"	"0"	"0"	"1"	"0"	"0"
"invänta"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"0"	"1"	"2"	"0"	"1"	"0"	"2"	"0"	"1"	"0"
"inviga"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"2"	"2"	"2"	"1"	"1"	"0"	"0"	"0"	"0"
"gå_back"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"0"	"2"	"1"	"0"	"0"	"0"
"delge"	"10"	"0"	"0"	"0"	"0"	"0"	"1"	"2"	"0"	"0"	"1"	"0"	"0"	"1"	"2"	"1"	"0"	"1"	"0"	"0"	"1"	"0"
"inrymma"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"2"	"1"	"1"	"1"	"0"	"0"	"0"
"framgå"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"2"	"0"	"2"	"1"	"2"	"0"	"0"
"ta_i_anspråk"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"3"	"0"	"0"
"hissa"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"2"	"0"	"1"	"0"	"1"	"1"	"0"	"3"	"0"	"1"	"0"
"engagera"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"1"	"3"	"0"	"1"	"2"	"1"	"0"	"0"
"lugna_sig"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"1"	"2"	"0"	"2"	"1"	"0"	"2"	"0"	"0"
"leva_upp"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"2"	"0"	"3"	"0"	"0"	"1"	"0"	"0"
"få_tag"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"0"	"1"	"2"	"1"	"3"	"1"	"0"	"0"	"0"
"dela_upp"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"2"	"2"	"1"	"0"	"2"	"0"	"1"	"0"	"0"
"ta_i_beslag"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"4"	"0"	"1"	"2"	"0"	"1"	"1"	"0"
"samverka"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"
"anlända"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"1"	"2"	"0"	"0"	"1"	"1"	"3"	"0"	"0"
"sticka"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"3"	"1"	"1"	"1"	"0"	"1"	"2"	"0"	"0"
"släppa_fram"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"3"	"0"	"1"	"1"	"1"	"0"
"återhämta"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"1"	"2"	"0"	"1"	"0"
"återhämta_sig"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"4"	"1"	"0"	"1"	"2"	"0"	"1"	"0"
"kretsa"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"3"	"1"	"3"	"2"	"0"	"0"	"0"
"donera"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"3"	"3"	"0"	"3"	"0"	"0"
"anse"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"3"	"1"	"1"	"1"	"0"
"uppgå"	"9"	"0"	"0"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"1"	"2"	"1"	"1"	"0"	"0"	"0"	"1"	"0"
"räkna"	"9"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"2"	"0"	"3"	"0"	"0"
"övervaka"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"1"	"0"	"2"	"0"	"1"	"2"	"0"	"0"
"förklara"	"9"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"2"	"1"	"0"	"2"	"1"	"0"	"0"	"0"
