period	username	age	agebin	total	v1abs	v2abs	v1rel	v2rel
2010	Annanym	40	Gen2	2.0	1.0	1.0	0.5	0.5
2010	underverket 06	39	Gen2	1.0	0.0	1.0	0.0	1.0
2010	En glad tjej	31	Gen2	2.0	0.0	2.0	0.0	1.0
2010	Matteus	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	wannabemom	25	Gen3	5.0	3.0	2.0	0.6	0.4
2010	Röllekan	32	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Wonderchild2009	20	Gen4	1.0	0.0	1.0	0.0	1.0
2010	Meline	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Lindadjo	32	Gen2	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	Väntarochlängtar	39	Gen2	2.0	2.0	0.0	1.0	0.0
2010	vixi82	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Gladabarnensmamma	27	Gen3	5.0	0.0	5.0	0.0	1.0
2010	lavendeln	25	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Bina86	23	Gen3	1.0	1.0	0.0	1.0	0.0
2010	LaFontaine	25	Gen3	5.0	5.0	0.0	1.0	0.0
2010	Cacto	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	pygmalion	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Mylla	30	Gen3	2.0	1.0	1.0	0.5	0.5
2010	Atamon	38	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Lilla H	31	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	C0211	30	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Isabelsmamma	24	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Litenmalin	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	väduren74	35	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	sänka	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Niveaa	24	Gen3	2.0	0.0	2.0	0.0	1.0
2010	pojkens	35	Gen2	1.0	0.0	1.0	0.0	1.0
2010	lunkentuss	40	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Maddisen80	29	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Gustie	37	Gen2	25.0	24.0	1.0	0.96	0.04
2010	Rona	27	Gen3	4.0	4.0	0.0	1.0	0.0
2010	Maj	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Olivia2006	32	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Tindragull	33	Gen2	1.0	0.0	1.0	0.0	1.0
2010	BAC	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	grönräv	31	Gen2	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	Liten måne	26	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Gubbas	34	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Lumen	40	Gen2	5.0	5.0	0.0	1.0	0.0
2010	jentho	24	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Flurran	27	Gen3	1.0	1.0	0.0	1.0	0.0
2010	Hej hopp i blåbärsskogen	25	Gen3	3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
2010	Bess	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Ausi79	30	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Jola	33	Gen2	1.0	1.0	0.0	1.0	0.0
2010	carola 79	30	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Nimbus	40	Gen2	4.0	1.0	3.0	0.25	0.75
2010	Equal	31	Gen2	3.0	0.0	3.0	0.0	1.0
2010	P A K	37	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Jennypenny83	26	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	Lucaz mamma	37	Gen2	1.0	1.0	0.0	1.0	0.0
2010	kjellis	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Nisen	40	Gen2	2.0	2.0	0.0	1.0	0.0
2010	lotfix	25	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Neko	40	Gen2	4.0	4.0	0.0	1.0	0.0
2010	ango07	32	Gen2	3.0	3.0	0.0	1.0	0.0
2010	MeMayo	37	Gen2	1.0	0.0	1.0	0.0	1.0
2010	Mopsan	23	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Novalie	33	Gen2	6.0	6.0	0.0	1.0	0.0
2010	Timmervik	34	Gen2	2.0	2.0	0.0	1.0	0.0
2010	ceisabelle	22	Gen3	2.0	0.0	2.0	0.0	1.0
2010	Myra	37	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Mynta	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	fläck	26	Gen3	15.0	0.0	15.0	0.0	1.0
2010	MrsMumrik	30	Gen3	3.0	2.0	1.0	0.6666666666666666	0.3333333333333333
2010	nostalgi	50	Gen1	2.0	2.0	0.0	1.0	0.0
2010	LA Woman	35	Gen2	2.0	2.0	0.0	1.0	0.0
2010	Caramella	30	Gen3	3.0	0.0	3.0	0.0	1.0
2010	som en sol	27	Gen3	5.0	2.0	3.0	0.4	0.6
2010	Eleonor86	23	Gen3	3.0	0.0	3.0	0.0	1.0
2010	Musetti	28	Gen3	1.0	1.0	0.0	1.0	0.0
2010	xxMollyxx	28	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Sylten	32	Gen2	2.0	2.0	0.0	1.0	0.0
2010	lerumstessan	27	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Längtan82	27	Gen3	10.0	2.0	8.0	0.2	0.8
2010	mariahammarberg	29	Gen3	1.0	1.0	0.0	1.0	0.0
2010	3barnsmor	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Annamaja	29	Gen3	1.0	0.0	1.0	0.0	1.0
2010	Chaktio	33	Gen2	2.0	2.0	0.0	1.0	0.0
2010	MammanZ	34	Gen2	1.0	0.0	1.0	0.0	1.0
2010	oxytocin	40	Gen2	1.0	1.0	0.0	1.0	0.0
2010	Flisan79	30	Gen3	1.0	0.0	1.0	0.0	1.0
2010	sarap1978	31	Gen2	2.0	1.0	1.0	0.5	0.5
2010	Daimis	33	Gen2	4.0	0.0	4.0	0.0	1.0
2010	Opo	40	Gen2	3.0	0.0	3.0	0.0	1.0
2010	Majskorn	25	Gen3	1.0	0.0	1.0	0.0	1.0
