word	Totalt		SVT nyheter 2004	SVT nyheter 2005	SVT nyheter 2006	SVT nyheter 2007	SVT nyheter 2008	SVT nyheter 2009	SVT nyheter 2010	SVT nyheter 2011	SVT nyheter 2012	SVT nyheter 2013	SVT nyheter 2014	SVT nyheter 2015	SVT nyheter 2016	SVT nyheter 2017	SVT nyheter 2018	SVT nyheter 2019	SVT nyheter 2020	SVT nyheter 2021	SVT nyheter 2022	SVT nyheter 2023
börjar lyfta	11		0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	2	1	1	1	1
börjar flyta	11		0	0	0	0	0	0	1	0	1	0	0	2	2	1	1	0	2	0	0	1
börjar värma	11		0	0	0	0	0	0	0	1	0	0	2	0	1	2	1	0	1	2	0	1
börjar prioritera	11		0	0	0	0	0	0	0	0	5	2	0	0	0	1	0	3	0	0	0	0
börjar bete	11		0	0	0	0	0	0	0	0	0	1	1	2	0	3	0	3	0	0	1	0
börjar filma	11		0	0	0	0	0	0	0	0	0	0	3	2	1	1	2	1	0	0	0	1
börjar snacka	11		0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	3	0	0	3	0
börjar byta	10		0	1	0	0	0	0	0	0	0	0	0	0	3	1	2	0	2	0	1	0
börjar missbruka	10		0	0	1	1	0	1	0	0	0	0	0	1	1	3	0	0	1	0	1	0
börjar kalla	10		0	0	0	0	3	0	0	1	0	1	0	0	0	0	1	1	1	2	0	0
börjar spåra	10		0	0	0	0	1	1	0	0	0	0	1	2	3	0	2	0	0	0	0	0
börjar ordna	10		0	0	0	0	1	0	2	0	0	2	0	0	0	1	3	0	0	0	1	0
börjar fylla	10		0	0	0	0	1	0	0	0	0	1	1	2	1	0	1	0	1	0	2	0
börjar fira	10		0	0	0	0	1	0	0	1	0	0	1	2	1	0	2	0	1	0	0	1
börjar intressera	10		0	0	0	0	0	2	1	0	0	0	1	1	0	2	0	1	1	1	0	0
börjar blinka	10		0	0	0	0	0	0	2	0	0	0	0	1	2	4	0	1	0	0	0	0
börjar ryka	10		0	0	0	0	0	0	1	0	0	1	0	1	0	4	1	2	0	0	0	0
börjar klättra	10		0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	3	0	1	0
börjar klinga	10		0	0	0	0	0	0	1	0	0	0	2	0	2	1	0	0	2	2	0	0
börjar försöka	10		0	0	0	0	0	0	0	0	0	2	1	0	0	4	2	0	0	1	0	0
börjar reflektera	10		0	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	2	1	0	0
börjar spira	10		0	0	0	0	0	0	0	0	0	0	3	5	0	1	1	0	0	0	0	0
börjar snöa	10		0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	0	1	1	0	0
börjar upptäcka	9		0	1	0	0	0	0	1	2	0	0	1	0	2	0	0	1	1	0	0	0
börjar stämma	9		0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	1	0	2	1	0
