author	age	v2rel	year	bin	binlabel
Tuttie	27	0.9016449533793712	2006	2	20--29
castillo	20		2006	2	20--29
Studentpappa	26		2006	2	20--29
mikroE	25		2006	2	20--29
CamillaJ	23	0.6607799894742438	2006	2	20--29
Annanym	38	0.010657741765713607	2006	3	30--39
LeaveMeAlone	24		2006	2	20--29
cruz	38		2006	3	30--39
Hedi	42		2006	4	40--49
LuMa	29		2006	2	20--29
TantG	38	0.0788672890662807	2006	3	30--39
allakantralla	32		2006	3	30--39
NinaFina	38	0.03623632200342627	2006	3	30--39
Jossan	38	0.0	2006	3	30--39
Mirren	30	0.008526193412570887	2006	3	30--39
Diana	42	0.03623632200342627	2006	4	40--49
Solkattan	32	0.004263096706285443	2006	3	30--39
jazzy	21	0.14281373966056235	2006	2	20--29
Kryztina	30	0.019183935178284494	2006	3	30--39
Alle	39	0.03307294900835243	2007	3	30--39
Jeanette	39	0.017323925671041747	2007	3	30--39
Anne69	39	0.012599218669848545	2007	3	30--39
Jossebell	40	0.01574902333731068	2007	4	40--49
Emeli	55		2007	5	50--59
AW76	32	0.03307294900835243	2007	3	30--39
Impertiff	35	0.014174121003579614	2007	3	30--39
Nickis	35	0.014174121003579614	2007	3	30--39
Happy me	33		2007	3	30--39
Tyrell	36	0.05827138634804952	2007	3	30--39
Lindadjo	31	0.017323925671041747	2007	3	30--39
mossan	39	0.0	2007	3	30--39
nnnnnnnn	39		2007	3	30--39
Dohgon	21		2007	2	20--29
Ett två tre	23		2007	2	20--29
Snakeheart	28	0.0787451166865534	2007	2	20--29
Gladabarnensmamma	26	0.4488471651133544	2007	2	20--29
copycat	22	0.02992314434089029	2007	2	20--29
modestyclara	30	0.0031498046674621363	2007	3	30--39
hotten	34	0.026773339673428157	2007	3	30--39
Anne M	50		2007	5	50--59
bubbelmaja	31	0.026773339673428157	2007	3	30--39
vist	39	1.1512536059574108	2007	3	30--39
Tecum	52		2007	5	50--59
fruganL	19		2007	1	<20
yodi	29	0.23466044772592914	2007	2	20--29
Pochahontas	35	1.6315988177453864	2007	3	30--39
kicki08	31		2007	3	30--39
LHUF	29	0.13386667475452368	2007	2	20--29
MalinI	30	0.056696474013680616	2007	3	30--39
Sommartider	19	0.026773334950904736	2007	1	<20
Solaris	39	0.042522355510260464	2007	3	30--39
Ruggugglan	21	0.04882196373400275	2007	2	20--29
Fjäril kär	31		2007	3	30--39
Gustie	36	0.011024314391549009	2007	3	30--39
hymafr	44	0.0015749020559355726	2007	4	40--49
PumpkinQueen	27		2007	2	20--29
Tilcha	24	0.014174118503420154	2007	2	20--29
Lorelei	31	0.01259921644748458	2007	3	30--39
CoolJen	29	0.12284236036297468	2007	2	20--29
car	34	0.009449412335613435	2007	3	30--39
Baronessan	34	0.014174118503420154	2007	3	30--39
hemlis	39	1.1796016398957438	2007	3	30--39
Mopsan	22		2007	2	20--29
Adora1	29		2007	2	20--29
Saltlakrits	25	0.03779764934245374	2007	2	20--29
Alisa	28	0.0015749020559355726	2007	2	20--29
Ickan	39	0.05354666990180947	2007	3	30--39
underverket 06	38		2007	3	30--39
barnsäng	39	0.23938511250220704	2007	3	30--39
UWO BaraJag	36		2007	3	30--39
högbergarna	30	0.10709333980361894	2007	3	30--39
Skogsstjärnan	41	0.044097257566196035	2007	4	40--49
Tristan	39	0.007874510279677864	2007	3	30--39
lilla mej	31		2007	3	30--39
sportpappa	31		2007	3	30--39
hot fuss	29		2007	2	20--29
Bohman	23	0.028348237006840308	2007	2	20--29
AnnaKlara	38	0.033072943174647026	2007	3	30--39
hannis	30	0.003149804111871145	2007	3	30--39
Moomin	27	0.022048628783098018	2007	2	20--29
snobben	39	0.23623530839033588	2007	3	30--39
Insatt	27	0.0015749020559355726	2007	2	20--29
Konvaljen	24	0.009449412335613435	2007	2	20--29
luzorsus	31	0.11024314391549009	2007	3	30--39
gosmamman	26	1.3906385153911107	2007	2	20--29
Brooke	20	0.003149804111871145	2007	2	20--29
brokig	25	0.02362353083903359	2007	2	20--29
MayaS	39	0.007874510279677864	2007	3	30--39
Emeliee	28	0.033072943174647026	2007	2	20--29
finskaflikkan	25		2007	2	20--29
Tigra79	29	0.003149804111871145	2007	2	20--29
snöflingan1	39	0.2929317824040165	2007	3	30--39
Carla82	26	0.009449412335613435	2007	2	20--29
Kaosmamma	27		2007	2	20--29
Tant Groda	26		2007	2	20--29
Smajla	20	0.01889882467122687	2007	2	20--29
Mamba	24	0.007874510279677864	2007	2	20--29
ModestyB	27		2007	2	20--29
AndreaBD	44		2007	4	40--49
Lilla Morran	25		2007	2	20--29
TheLove	39	0.5071184620112543	2007	3	30--39
Bondfia	37		2007	3	30--39
Mania x2	31		2007	3	30--39
SuzR	27		2007	2	20--29
Trikarn	39	0.011024314391549009	2007	3	30--39
Damien och Adrian	36		2007	3	30--39
BasseKatt	34	0.02362353083903359	2007	3	30--39
Daggdroppen	21	0.003149804111871145	2007	2	20--29
Tettan	39	0.12441726241891025	2007	3	30--39
lottizm	24	0.3890008078160865	2007	2	20--29
Stella 78	30		2007	3	30--39
Tina B	39		2007	3	30--39
Lillatroll	35	1.0079373157987666	2007	3	30--39
Peztis	39	0.003149804111871145	2007	3	30--39
skruttis11	27	0.07087059251710076	2007	2	20--29
Fiamedbarn	38		2007	3	30--39
Tuttie	28	0.7449286724575259	2007	2	20--29
castillo	21		2007	2	20--29
Studentpappa	27		2007	2	20--29
mikroE	26		2007	2	20--29
CamillaJ	24	0.3937255139838932	2007	2	20--29
Annanym	39	0.028348237006840308	2007	3	30--39
LeaveMeAlone	25	0.5968878791995821	2007	2	20--29
cruz	39	0.009449412335613435	2007	3	30--39
Hedi	43		2007	4	40--49
LuMa	30	2.370227594183037	2007	3	30--39
TantG	39	0.003149804111871145	2007	3	30--39
allakantralla	33	0.04724706167806718	2007	3	30--39
NinaFina	39	0.011024314391549009	2007	3	30--39
Jossan	39		2007	3	30--39
Mirren	31	0.01259921644748458	2007	3	30--39
Diana	43	0.02362353083903359	2007	4	40--49
Solkattan	33	0.003149804111871145	2007	3	30--39
jazzy	22	0.5748392504164841	2007	2	20--29
Kryztina	31	0.009449412335613435	2007	3	30--39
Alle	40	0.03693343619113322	2008	4	40--49
Jeanette	40	0.020875420455857906	2008	4	40--49
Anne69	40	0.006423206294110124	2008	4	40--49
Jossebell	41	0.001605801573527531	2008	4	40--49
Emeli	56	0.003211603147055062	2008	5	50--59
AW76	33	0.06744366608815631	2008	3	30--39
Impertiff	36	0.11882931644103731	2008	3	30--39
Nickis	36	0.003211603147055062	2008	3	30--39
Happy me	34		2008	3	30--39
Tyrell	37	0.22641802186738189	2008	3	30--39
Lindadjo	32	0.03693343619113322	2008	3	30--39
mossan	40		2008	4	40--49
nnnnnnnn	40		2008	4	40--49
Dohgon	22		2008	2	20--29
Ett två tre	24		2008	2	20--29
Snakeheart	29	0.016058015735275315	2008	2	20--29
Gladabarnensmamma	27	0.6921004781903659	2008	2	20--29
copycat	23	0.0	2008	2	20--29
modestyclara	31	0.03211603147055063	2008	3	30--39
hotten	35	0.012846412588220248	2008	3	30--39
Anne M	51		2008	5	50--59
bubbelmaja	32	0.009634809441165187	2008	3	30--39
vist	40	0.9056720874695275	2008	4	40--49
Tecum	53		2008	5	50--59
fruganL	20	0.0048174047205825936	2008	2	20--29
yodi	30	1.4034705752630623	2008	3	30--39
Pochahontas	36	1.2766122509543874	2008	3	30--39
kicki08	32	0.5540015428669982	2008	3	30--39
LHUF	30	2.439210706165004	2008	3	30--39
MalinI	31	0.542760512629211	2008	3	30--39
Sommartider	20	0.008029001666112588	2008	2	20--29
Solaris	40	0.012846402665780141	2008	4	40--49
Ruggugglan	22	0.028904405998005315	2008	2	20--29
Fjäril kär	32		2008	3	30--39
Gustie	37	0.0064232013328900705	2008	3	30--39
hymafr	45	0.014452202999002657	2008	4	40--49
PumpkinQueen	28		2008	2	20--29
Tilcha	25	0.03372180699767287	2008	2	20--29
Lorelei	32	0.02248120466511525	2008	3	30--39
CoolJen	30	0.0	2008	3	30--39
car	35	0.04175080866378546	2008	3	30--39
Baronessan	35	0.0064232013328900705	2008	3	30--39
hemlis	40	1.2107734512497783	2008	4	40--49
Mopsan	23	0.25371645264915776	2008	2	20--29
Adora1	30		2008	3	30--39
Saltlakrits	26	0.025692805331560282	2008	2	20--29
Alisa	29	0.03051020633122783	2008	2	20--29
Ickan	40	0.11722342432524378	2008	4	40--49
underverket 06	39		2008	3	30--39
barnsäng	40	0.7161869486172429	2008	4	40--49
UWO BaraJag	37		2008	3	30--39
högbergarna	31	0.1188292246584663	2008	3	30--39
Skogsstjärnan	42	0.0	2008	4	40--49
Tristan	40	0.0	2008	4	40--49
lilla mej	32		2008	3	30--39
sportpappa	32		2008	3	30--39
hot fuss	30		2008	3	30--39
Bohman	24	0.12525242599135636	2008	2	20--29
AnnaKlara	39	0.05780881199601063	2008	3	30--39
hannis	31	0.0032116006664450352	2008	3	30--39
Moomin	28	0.0032116006664450352	2008	2	20--29
snobben	40	0.1541568319893617	2008	4	40--49
Insatt	28	0.0	2008	2	20--29
Konvaljen	25	0.004817400999667553	2008	2	20--29
luzorsus	32	0.12685822632457888	2008	3	30--39
gosmamman	27	2.1052042368547204	2008	2	20--29
Brooke	21	0.04014500833056294	2008	2	20--29
brokig	26	0.0064232013328900705	2008	2	20--29
MayaS	40	0.0064232013328900705	2008	4	40--49
Emeliee	29	0.03211600666445035	2008	2	20--29
finskaflikkan	26	0.22320624631792993	2008	2	20--29
Tigra79	30	0.20714824298570475	2008	3	30--39
snöflingan1	40	0.4769226989670877	2008	4	40--49
Carla82	27	0.0032116006664450352	2008	2	20--29
Kaosmamma	28		2008	2	20--29
Tant Groda	27		2008	2	20--29
Smajla	21	0.0	2008	2	20--29
Mamba	25	0.008029001666112588	2008	2	20--29
ModestyB	28	0.1188292246584663	2008	2	20--29
AndreaBD	45		2008	4	40--49
Lilla Morran	26		2008	2	20--29
TheLove	40	0.009634801999335106	2008	4	40--49
Bondfia	38		2008	3	30--39
Mania x2	32		2008	3	30--39
SuzR	28		2008	2	20--29
Trikarn	40	0.0272986056647828	2008	4	40--49
