verb2	abs	ipm
träffa	6	0.00739581458674095
sträcka	6	0.00739581458674095
luta	6	0.00739581458674095
dribbla	6	0.00739581458674095
dansa	6	0.00739581458674095
besluta	6	0.00739581458674095
artikulera	6	0.00739581458674095
kombinera	6	0.00739581458674095
klättra	6	0.00739581458674095
tackla	6	0.00739581458674095
utnämna	6	0.00739581458674095
hänga	6	0.00739581458674095
slappna	6	0.00739581458674095
förlita	6	0.00739581458674095
gräva	6	0.00739581458674095
väcka	6	0.00739581458674095
uppsöka	6	0.00739581458674095
leta	6	0.00739581458674095
expandera	6	0.00739581458674095
borda	6	0.00739581458674095
riva	5	0.006163178822284125
lansera	5	0.006163178822284125
blotta	5	0.006163178822284125
bemöta	5	0.006163178822284125
överge	5	0.006163178822284125
utforska	5	0.006163178822284125
slänga	5	0.006163178822284125
fuska	5	0.006163178822284125
bestämma	5	0.006163178822284125
informera	5	0.006163178822284125
spara	5	0.006163178822284125
utgå	5	0.006163178822284125
svära	5	0.006163178822284125
ryta	5	0.006163178822284125
bänka	5	0.006163178822284125
bromsa	5	0.006163178822284125
beskriva	5	0.006163178822284125
skildra	5	0.006163178822284125
jubla	5	0.006163178822284125
förutsäga	5	0.006163178822284125
backa	5	0.006163178822284125
gå	5	0.006163178822284125
etablera	5	0.006163178822284125
fira	5	0.006163178822284125
vädra	5	0.006163178822284125
springa	5	0.006163178822284125
pruta	5	0.006163178822284125
snacka	4	0.004930543057827299
vidta	4	0.004930543057827299
promenera	4	0.004930543057827299
meddela	4	0.004930543057827299
konstatera	4	0.004930543057827299
utbilda	4	0.004930543057827299
tipsa	4	0.004930543057827299
skoja	4	0.004930543057827299
revoltera	4	0.004930543057827299
löpa	4	0.004930543057827299
hälsa	4	0.004930543057827299
exponera	4	0.004930543057827299
utelämna	4	0.004930543057827299
uppträda	4	0.004930543057827299
snurra	4	0.004930543057827299
forska	4	0.004930543057827299
duscha	4	0.004930543057827299
tända	4	0.004930543057827299
hitta	4	0.004930543057827299
gasa	4	0.004930543057827299
undersöka	4	0.004930543057827299
klippa	4	0.004930543057827299
ösa	4	0.004930543057827299
utföra	4	0.004930543057827299
skylta	4	0.004930543057827299
segla	4	0.004930543057827299
improvisera	4	0.004930543057827299
klämma	4	0.004930543057827299
förmedla	4	0.004930543057827299
förklara	4	0.004930543057827299
ange	4	0.004930543057827299
tränga	4	0.004930543057827299
drista	4	0.004930543057827299
namnge	4	0.004930543057827299
kommunicera	4	0.004930543057827299
simma	4	0.004930543057827299
avbryta	4	0.004930543057827299
binda	4	0.004930543057827299
vilja	4	0.004930543057827299
lösa	4	0.004930543057827299
belysa	4	0.004930543057827299
leverera	4	0.004930543057827299
åta	4	0.004930543057827299
medverka	4	0.004930543057827299
vaccinera	4	0.004930543057827299
gestalta	4	0.004930543057827299
vidga	4	0.004930543057827299
utropa	4	0.004930543057827299
pressa	4	0.004930543057827299
hejda	4	0.004930543057827299
syna	3	0.003697907293370475
reformera	3	0.003697907293370475
leda	3	0.003697907293370475
bedriva	3	0.003697907293370475
avsluta	3	0.003697907293370475
neka	3	0.003697907293370475
le	3	0.003697907293370475
landa	3	0.003697907293370475
hysa	3	0.003697907293370475
ha	3	0.003697907293370475
shoppa	3	0.003697907293370475
tro	3	0.003697907293370475
förlora	3	0.003697907293370475
förkasta	3	0.003697907293370475
vrida	3	0.003697907293370475
verka	3	0.003697907293370475
ventilera	3	0.003697907293370475
testa	3	0.003697907293370475
störa	3	0.003697907293370475
regissera	3	0.003697907293370475
duka	3	0.003697907293370475
missa	3	0.003697907293370475
konkurrera	3	0.003697907293370475
döda	3	0.003697907293370475
anlita	3	0.003697907293370475
ansöka	3	0.003697907293370475
tillstå	3	0.003697907293370475
adressera	3	0.003697907293370475
acceptera	3	0.003697907293370475
såga	3	0.003697907293370475
kika	3	0.003697907293370475
vårda	3	0.003697907293370475
strama	3	0.003697907293370475
provocera	3	0.003697907293370475
argumentera	3	0.003697907293370475
inta	3	0.003697907293370475
gifta	3	0.003697907293370475
underskatta	3	0.003697907293370475
avvakta	3	0.003697907293370475
överskrida	3	0.003697907293370475
värdera	3	0.003697907293370475
släppa	3	0.003697907293370475
förutse	3	0.003697907293370475
antyda	3	0.003697907293370475
inleda	3	0.003697907293370475
fundera	3	0.003697907293370475
veckla	3	0.003697907293370475
tjalla	3	0.003697907293370475
utreda	3	0.003697907293370475
motsätta	3	0.003697907293370475
